isd,district,classification,locale,county,fips,enrollment,uninsured,disability,seizure_specific
709,Duluth,FOUND_SEIZURE_SPECIFIC,City,St. Louis County,27137,8757.0,6.8,30.8,1
270,Hopkins,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,6977.0,7.5,25.0,1
272,Eden Prairie,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,8963.0,7.5,25.0,1
742,St. Cloud,FOUND_MED_POLICY_ONLY,City,Stearns County,27145,9543.0,7.9,27.6,0
112,Eastern Carver County,FOUND_SEIZURE_SPECIFIC,Suburb,Carver County,27019,9254.0,5.8,23.3,1
833,South Washington County,FOUND_MED_POLICY_ONLY,Suburb,Washington County,27163,19360.0,5.8,23.5,0
719,Prior Lake-Savage,FOUND_SEIZURE_SPECIFIC,Suburb,Scott County,27139,8777.0,6.6,23.7,1
286,Brooklyn Center,FOUND_MED_POLICY_ONLY,Suburb,Hennepin County,27053,2099.0,7.5,25.0,0
861,Winona Area,FOUND_MED_POLICY_ONLY,Town,Winona County,27169,2433.0,7.3,29.1,0
656,Faribault,FOUND_MED_POLICY_ONLY,Town,Rice County,27131,3107.0,8.7,28.1,0
206,Alexandria,FOUND_SEIZURE_SPECIFIC,Town,Douglas County,27041,4021.0,6.9,29.6,1
347,Willmar,FOUND_MED_POLICY_ONLY,Town,Kandiyohi County,27067,4220.0,10.0,30.0,0
88,New Ulm,FOUND_SEIZURE_SPECIFIC,Town,Brown County,27015,2135.0,8.1,30.2,1
94,Cloquet,FOUND_SEIZURE_SPECIFIC,Town,Carlton County,27017,2598.0,8.0,31.0,1
2137,Kingsland,FOUND_MED_POLICY_ONLY,Rural,Fillmore County,27045,517.0,7.6,31.6,0
2609,Win-E-Mac,FOUND_SEIZURE_SPECIFIC,Rural,Polk County,27119,444.0,8.3,29.7,1
2711,Mesabi East,FOUND_MED_POLICY_ONLY,Rural,St. Louis County,27137,871.0,6.8,30.8,0
857,Lewiston-Altura,FOUND_MED_POLICY_ONLY,Rural,Winona County,27169,591.0,7.3,29.1,0
690,Warroad,FOUND_MED_POLICY_ONLY,Rural,Roseau County,27135,1053.0,7.8,30.7,0
466,Dassel-Cokato,FOUND_SEIZURE_SPECIFIC,Rural,Wright County,27171,2015.0,6.8,26.0,1
11,Anoka-Hennepin School District,FOUND_SEIZURE_SPECIFIC,Suburb,Anoka County,27003,38631.0,7.5,28.1,1
625,Saint Paul Public Schools,FOUND_SEIZURE_SPECIFIC,City,Ramsey County,27123,32145.0,7.8,27.9,1
196,Rosemount-Apple Valley-Eagan,FOUND_SEIZURE_SPECIFIC,Suburb,Dakota County,27037,29115.0,7.1,25.8,1
1,Aitkin Public School District,FOUND_MED_POLICY_ONLY,Rural,Aitkin County,27001,995.0,7.4,34.7,0
30001,Minneapolis Public School District,FOUND_MED_POLICY_ONLY,City,Hennepin County,27053,29063.0,7.5,25.0,0
279,Osseo Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Hennepin County,27053,20776.0,7.5,25.0,1
535,Rochester Public School District,FOUND_SEIZURE_SPECIFIC,City,Olmsted County,27109,17342.0,6.7,24.9,1
728,Elk River Public School District,FOUND_MED_POLICY_ONLY,Suburb,Sherburne County,27141,14352.0,7.1,27.3,0
284,Wayzata Public Schools,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,12625.0,7.5,25.0,1
194,Lakeville Area Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Dakota County,27037,12021.0,7.1,25.8,1
621,Mounds View Public School District,NOT_FOUND,Suburb,Ramsey County,27123,11632.0,7.8,27.9,0
276,Minnetonka Public School District,FOUND_MED_POLICY_ONLY,City,Hennepin County,27053,11356.0,7.5,25.0,0
281,Robbinsdale Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Hennepin County,27053,10735.0,7.5,25.0,1
622,North St. Paul-Maplewood Oakdale,FOUND_SEIZURE_SPECIFIC,Suburb,Ramsey County,27123,10633.0,7.8,27.9,1
271,Bloomington Public School District,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,10294.0,7.5,25.0,1
273,Edina Public School District,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,8609.0,7.5,25.0,1
624,White Bear Lake Area Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Ramsey County,27123,8549.0,7.8,27.9,1
834,Stillwater Area Public Schools,FOUND_SEIZURE_SPECIFIC,Town,Washington County,27163,8368.0,5.8,23.5,1
77,Mankato Area Public Schools,FOUND_SEIZURE_SPECIFIC,City,Blue Earth County,27013,8276.0,7.9,28.8,1
720,Shakopee Public Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Scott County,27139,7678.0,6.6,23.7,1
191,Burnsville-Eagan-Savage Schools,FOUND_SEIZURE_SPECIFIC,City,Dakota County,27037,7594.0,7.1,25.8,1
152,Moorhead Area Public Schools,FOUND_MED_POLICY_ONLY,Suburb,Clay County,27027,7460.0,7.2,27.4,0
623,Roseville Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Ramsey County,27123,7355.0,7.8,27.9,1
12,Centennial Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Anoka County,27003,6772.0,7.5,28.1,1
885,St. Michael-Albertville Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Wright County,27171,6696.0,6.8,26.0,1
192,Farmington Public School District,FOUND_MED_POLICY_ONLY,Suburb,Dakota County,27037,6630.0,7.1,25.8,0
16,Spring Lake Park Public Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Anoka County,27003,6140.0,7.5,28.1,1
181,Brainerd Public School District,FOUND_SEIZURE_SPECIFIC,Town,Crow Wing County,27035,6134.0,7.0,30.7,1
