"stateabbr","locationname","locationid","measureid","short_question_text","data_value","low_confidence_limit","high_confidence_limit","totalpopulation"
"MN","Aitkin","27001","ACCESS2","Health Insurance","7.4","5.7","9.5","16102"
"MN","Anoka","27003","ACCESS2","Health Insurance","7.5","6.0","9.4","372441"
"MN","Becker","27005","ACCESS2","Health Insurance","7.5","5.8","9.7","35283"
"MN","Beltrami","27007","ACCESS2","Health Insurance","8.2","6.4","10.5","46718"
"MN","Benton","27009","ACCESS2","Health Insurance","8.0","6.1","10.1","41600"
"MN","Big Stone","27011","ACCESS2","Health Insurance","7.9","6.1","10.0","5105"
"MN","Blue Earth","27013","ACCESS2","Health Insurance","7.9","6.1","10.3","70006"
"MN","Brown","27015","ACCESS2","Health Insurance","8.1","6.2","10.2","25628"
"MN","Carlton","27017","ACCESS2","Health Insurance","8.0","6.1","10.2","36825"
"MN","Carver","27019","ACCESS2","Health Insurance","5.8","4.3","7.8","111057"
"MN","Cass","27021","ACCESS2","Health Insurance","7.4","5.8","9.6","31446"
"MN","Chippewa","27023","ACCESS2","Health Insurance","9.9","7.8","12.4","12172"
"MN","Chisago","27025","ACCESS2","Health Insurance","7.0","5.4","9.1","58535"
"MN","Clay","27027","ACCESS2","Health Insurance","7.2","5.6","9.3","66258"
"MN","Clearwater","27029","ACCESS2","Health Insurance","8.9","6.9","11.3","8644"
"MN","Cook","27031","ACCESS2","Health Insurance","6.3","4.8","8.1","5639"
"MN","Cottonwood","27033","ACCESS2","Health Insurance","10.2","8.1","12.5","11319"
"MN","Crow Wing","27035","ACCESS2","Health Insurance","7.0","5.3","9.1","68304"
"MN","Dakota","27037","ACCESS2","Health Insurance","7.1","5.6","8.8","447440"
"MN","Dodge","27039","ACCESS2","Health Insurance","7.1","5.4","9.1","21088"
"MN","Douglas","27041","ACCESS2","Health Insurance","6.9","5.2","8.8","39953"
"MN","Faribault","27043","ACCESS2","Health Insurance","9.3","7.2","11.7","13873"
"MN","Fillmore","27045","ACCESS2","Health Insurance","7.6","5.7","9.9","21522"
"MN","Freeborn","27047","ACCESS2","Health Insurance","9.8","7.8","12.1","30515"
"MN","Goodhue","27049","ACCESS2","Health Insurance","7.7","6.0","10.0","48035"
"MN","Grant","27051","ACCESS2","Health Insurance","8.0","6.1","10.2","6139"
