isd,district,confirmed_date,confirmed_month,respondent_role,what_confirmed,after_edan_outreach,source,status
2171,Kittson Central School District,2026-09-15,September 2026,Superintendent,has a seizure plan,no,email reply to Sep 14 follow-up,confirmed
857,Lewiston-Altura,2026-09-15,September 2026,District licensed school nurse,seizure action plans developed with each family and staff trained in each building (plans kept off the website by choice),no,email reply to Sep 14 follow-up,confirmed
741,Paynesville Area Schools,2026-09-15,September 2026,School nurse,plans on file and trained staff,no,email reply to Sep 14 follow-up,confirmed
203,Hayfield Public School District,2026-09-15,September 2026,Licensed school nurse,students have emergency action plans and staff receive seizure training every year,no,email reply to Sep 14 follow-up,confirmed
2888,Clinton-Graceville-Beardsley,2026-09-15,September 2026,School nurse,individual seizure action plans for each student and all-staff training,no,email reply to Sep 14 follow-up,confirmed
2125,Triton School District,2026-09-15,September 2026,District nurse,plans on file and trained staff,no,email reply to Sep 14 follow-up,confirmed
542,Battle Lake Public School District,2026-09-15,September 2026,School health lead,plans and trained staff ready (no current students with a seizure disorder),no,email reply to Sep 14 follow-up,confirmed
561,Goodridge Public School District,2026-09-11,September 2026,School nurse,has a seizure plan,no,email reply to Sep 10 follow-up,confirmed
495,Grand Meadow Public School District,2026-09-10,September 2026,District staff,plans on file and staff know what to do,yes,"email reply to Sep 10 follow-up (internal: plan built with the EDAN packet; testimonial source, keep anonymous)",confirmed
213,Osakis Public School District,2026-09-09,September 2026,Health services,plans on file and trained staff,no,email reply to Sep 9 follow-up,confirmed
840,St. James Public School District,2026-09-09,September 2026,Licensed school nurse,plans on file and trained staff,no,email reply to Sep 9 follow-up,confirmed
700,Hermantown Community Schools,2026-08-25,August 2026,District nurse,seizure action plan for each student with seizures updated every year and training for staff who work with them,no,email reply to Aug 15 outreach,confirmed
30001,Minneapolis Public School District,2026-09-14,September 2026,Director of nursing,has plans in place,no,email reply to Sep 9 follow-up,confirmed
447,Grygla Public School District,2026-08-28,August 2026,Superintendent,staff had seizure training in August and every teacher received a seizure first-aid one-pager; a district plan is in progress,yes,email reply to Aug 28 outreach,in_progress
656,Faribault,2026-08-18,August 2026,Licensed school nurse,the district nursing team is working on closing this gap and updating its health policies,yes,email reply to Aug 15 outreach,in_progress
600,Fisher Public School District,2026-08-17,August 2026,School nurse,the materials were sent to the superintendent to add seizure action plans to district policy,yes,email reply to Aug 15 outreach,in_progress
319,Nashwauk-Keewatin School District,2026-07-20,July 2026,School nurse,the nurse gathers seizure plan information from each student's healthcare provider and planned to add seizure information to the district health page,yes,email reply to Jul 19 outreach,in_progress
36,Kelliher Public School District,2026-09-10,September 2026,District contact,a seizure action plan was on file for a student last year (2025-26); confirmation for this school year is pending,no,email reply to Sep 9 follow-up,pending
