molecule,generic_name,presentation,dosage_form,injectable,status,availability,initial_posting_date,update_date,change_date,discontinued_date,resolved_note,shortage_reason,company_name,package_ndc
carbamazepine,"Carbamazepine Capsule, Extended Release","Carbatrol, Capsule, Extended Release, 100 mg (NDC 54092-171-12)","Capsule, Extended Release",no,To Be Discontinued,,12/19/2025,12/19/2025,,12/19/2025,,,Takeda Pharmaceuticals USA Inc.,54092-171-12
carbamazepine,"Carbamazepine Capsule, Extended Release","Carbatrol, Capsule, Extended Release, 200 mg (NDC 54092-172-12)","Capsule, Extended Release",no,To Be Discontinued,,12/19/2025,12/19/2025,,12/19/2025,,,Takeda Pharmaceuticals USA Inc.,54092-172-12
carbamazepine,"Carbamazepine Capsule, Extended Release","Carbatrol, Capsule, Extended Release, 300 mg (NDC 54092-173-12)","Capsule, Extended Release",no,To Be Discontinued,,12/19/2025,12/19/2025,,12/19/2025,,,Takeda Pharmaceuticals USA Inc.,54092-173-12
lamotrigine,"Lamotrigine Tablet, Extended Release","Lamotrigine, Tablet, Extended Release, 100 mg (NDC 49884-563-11)",Tablet,no,To Be Discontinued,,04/29/2026,04/29/2026,,04/29/2026,,,"Par Health, Inc.",49884-563-11
lamotrigine,"Lamotrigine Tablet, Extended Release","Lamotrigine, Tablet, Extended Release, 200 mg (NDC 49884-564-11)",Tablet,no,To Be Discontinued,,04/29/2026,04/29/2026,,04/29/2026,,,"Par Health, Inc.",49884-564-11
lamotrigine,"Lamotrigine Tablet, Extended Release","Lamotrigine, Tablet, Extended Release, 25 mg (NDC 49884-561-11)",Tablet,no,To Be Discontinued,,04/29/2026,04/29/2026,,04/29/2026,,,"Par Health, Inc.",49884-561-11
lamotrigine,"Lamotrigine Tablet, Extended Release","Lamotrigine, Tablet, Extended Release, 250 mg (NDC 49884-604-11)",Tablet,no,To Be Discontinued,,04/29/2026,04/29/2026,,04/29/2026,,,"Par Health, Inc.",49884-604-11
lamotrigine,"Lamotrigine Tablet, Extended Release","Lamotrigine, Tablet, Extended Release, 300 mg (NDC 49884-605-11)",Tablet,no,To Be Discontinued,,04/29/2026,04/29/2026,,04/29/2026,,,"Par Health, Inc.",49884-605-11
lamotrigine,"Lamotrigine Tablet, Extended Release","Lamotrigine, Tablet, Extended Release, 50 mg (NDC 49884-562-11)",Tablet,no,To Be Discontinued,,04/29/2026,04/29/2026,,04/29/2026,,,"Par Health, Inc.",49884-562-11
phenobarbital,Phenobarbital Tablet,"Phenobarbital, Tablet, 16.2 mg (NDC 0603-5165-21)",Tablet,no,To Be Discontinued,,10/31/2025,10/31/2025,,10/31/2025,,,"Endo Pharmaceuticals, Inc.",0603-5165-21
phenobarbital,Phenobarbital Tablet,"Phenobarbital, Tablet, 16.2 mg (NDC 0603-5165-32)",Tablet,no,To Be Discontinued,,10/31/2025,10/31/2025,,10/31/2025,,,"Endo Pharmaceuticals, Inc.",0603-5165-32
phenobarbital,Phenobarbital Tablet,"Phenobarbital, Tablet, 32.4 mg (NDC 0603-5166-21)",Tablet,no,To Be Discontinued,,10/31/2025,10/31/2025,,10/31/2025,,,"Endo Pharmaceuticals, Inc.",0603-5166-21
phenobarbital,Phenobarbital Tablet,"Phenobarbital, Tablet, 32.4 mg (NDC 0603-5166-32)",Tablet,no,To Be Discontinued,,10/31/2025,10/31/2025,,10/31/2025,,,"Endo Pharmaceuticals, Inc.",0603-5166-32
phenobarbital,Phenobarbital Tablet,"Phenobarbital, Tablet, 64.8 mg (NDC 0603-5167-21)",Tablet,no,To Be Discontinued,,10/31/2025,10/31/2025,,10/31/2025,,,"Endo Pharmaceuticals, Inc.",0603-5167-21
phenobarbital,Phenobarbital Tablet,"Phenobarbital, Tablet, 64.8 mg (NDC 0603-5167-32)",Tablet,no,To Be Discontinued,,10/31/2025,10/31/2025,,10/31/2025,,,"Endo Pharmaceuticals, Inc.",0603-5167-32
phenobarbital,Phenobarbital Tablet,"Phenobarbital, Tablet, 97.2 mg (NDC 0603-5168-21)",Tablet,no,To Be Discontinued,,10/31/2025,10/31/2025,,10/31/2025,,,"Endo Pharmaceuticals, Inc.",0603-5168-21
phenobarbital,Phenobarbital Tablet,"Phenobarbital, Tablet, 97.2 mg (NDC 0603-5168-32)",Tablet,no,To Be Discontinued,,10/31/2025,10/31/2025,,10/31/2025,,,"Endo Pharmaceuticals, Inc.",0603-5168-32
tiagabine,Tiagabine Hydrochloride Tablet,"Tiagabine Hydrochloride, Tablet, 12mg 30 count (NDC 0093-8072-56)",Tablet,no,To Be Discontinued,,04/15/2026,04/15/2026,,04/15/2026,,,"Teva Pharmaceuticals USA, Inc.",0093-8072-56
tiagabine,Tiagabine Hydrochloride Tablet,"Tiagabine Hydrochloride, Tablet, 16mg 30 count (NDC 0093-8076-56)",Tablet,no,To Be Discontinued,,04/15/2026,04/15/2026,,04/15/2026,,,"Teva Pharmaceuticals USA, Inc.",0093-8076-56
tiagabine,Tiagabine Hydrochloride Tablet,"Tiagabine Hydrochloride, Tablet, 2mg 30 count (NDC 0093-5030-56)",Tablet,no,To Be Discontinued,,04/15/2026,04/15/2026,,04/15/2026,,,"Teva Pharmaceuticals USA, Inc.",0093-5030-56
tiagabine,Tiagabine Hydrochloride Tablet,"Tiagabine Hydrochloride, Tablet, 4mg 30 count (NDC 0093-5031-56)",Tablet,no,To Be Discontinued,,04/15/2026,04/15/2026,,04/15/2026,,,"Teva Pharmaceuticals USA, Inc.",0093-5031-56
valproate,Valproate Sodium Injection,"Valproate Sodium, Injection, 100 mg/1 mL (NDC 63323-494-05)",Injection,yes,Current,Available,12/30/2020,09/15/2026,,,,,"Fresenius Kabi USA, LLC",63323-494-05
valproate,Valproate Sodium Injection,"Valproate Sodium, Injection, 500 mg/5 mL (NDC 0143-9785-10)",Injection,yes,Current,Available,12/30/2020,09/03/2026,,,,,"Hikma Pharmaceuticals USA, Inc.",0143-9785-10
vigabatrin,Vigabatrin Oral Solution,"Vigpoder, Oral Solution, 50 mg/1 mL (NDC 80789-117-50)",Oral Solution,no,To Be Discontinued,,10/16/2025,10/16/2025,,10/16/2025,,,"Pyros Pharmaceuticals, Inc.",80789-117-50
