year,payer,molecule,apcd_drug_name,ther_class,number_scripts,unique_members,total_cost,cost_per_user,cost_per_script,cost_per_days_supply,cost_per_unit_dispensed,yearly_pct_change_cost_per_script,days_supply_median,days_supply_mean,quantity_median,quantity_mean,insurer_paid_median,insurer_paid_mean,insurer_paid_sum,member_paid_median,member_paid_mean,member_paid_sum,total_paid_median,total_paid_mean,total_paid_sum,pct_total_pharm_spending,pct_scripts_0_18,pct_scripts_19_44,pct_scripts_45_64,pct_scripts_65_plus,pct_scripts_female,pct_scripts_male,pct_scripts_urban_core,pct_scripts_suburban,pct_scripts_micropolitan,pct_scripts_rural_smalltown,source_file,source_url,date_accessed,record_type,npropname,total_scripts_filled,total_cost_rank,cost_per_user_rank,cost_per_script_rank,cost_per_days_supply_rank,cost_per_unit_dispensed_rank,total_scripts_filled_rank,yearly_pct_change_cost_per_script_rank,days_supply_stddev,quantity_stddev,insurer_paid_stddev,member_paid_stddev,total_paid_stddev
2009,COMMERCIAL,carbamazepine,CARBAMAZEPINE,Neuromuscular Drugs,26819,4483,2446150.96,545.65,91.2,2.24,0.68,,30,40.5,90,132.5,27.57,65.45,1755531.93,15,25.67,688699.01,54.68,91.2,2446150.96,0.0006376542563881,0.0529848241918043,0.371005630336701,0.516201200641336,0.0598083448301577,0.544502032141392,0.455497967858607,0.639807599090197,0.117677765763078,0.102166374585182,0.140348260561542,rxsummary2009.xlsx,https://www.health.state.mn.us/data/apcd/publicusefiles/docs/rxsummary2009.xlsx,2026-09-19,Drug,CARBAMAZEPINE,26819,167,362,579,719,894,191,,23.6,110.9,95.92,36.37,110.23
2009,COMMERCIAL,ethosuximide,ETHOSUXIMIDE,Neuromuscular Drugs,1477,220,135888.41,617.67,92,2.68,0.47,,30,34.2,120,191.9,56.9,73.93,109207.94,12,18.01,26609.3,71.42,92,135888.41,3.54229254233e-05,0.70886932972241,0.103588354773188,0.1875423155044,0,0.638456330399458,0.361543669600541,0.658767772511848,0.136086662153012,0.0805687203791469,0.124576844955991,rxsummary2009.xlsx,https://www.health.state.mn.us/data/apcd/publicusefiles/docs/rxsummary2009.xlsx,2026-09-19,Drug,ETHOSUXIMIDE,1477,664,340,573,666,985,656,,16,158.1,66.83,25.9,69.76
2009,COMMERCIAL,felbamate,FELBAMATE,Neuromuscular Drugs,1675,238,853914.89,3587.87,509.79,13.88,2.22,,30,36.7,180,228.7,374.47,464.89,778700.02,25,44.43,74424.23,411,509.79,853914.89,0.0002225956096355,0.510447761194029,0.31820895522388,0.158805970149253,0.0125373134328358,0.551044776119402,0.448955223880597,0.674626865671641,0.149850746268656,0.0650746268656716,0.110447761194029,rxsummary2009.xlsx,https://www.health.state.mn.us/data/apcd/publicusefiles/docs/rxsummary2009.xlsx,2026-09-19,Drug,FELBAMATE,1675,325,94,143,197,582,632,,19.9,191,340.81,75.99,343.68
2009,COMMERCIAL,lacosamide,LACOSAMIDE,Neuromuscular Drugs,457,124,222165.33,1791.65,486.13,15.66,5.54,,30,31,60,87.7,389.7,453.45,207230.42,20,31.36,14333.06,404.7,486.13,222165.33,5.79132975081e-05,,,,,0.62363238512035,0.376367614879649,0.733041575492341,0.0897155361050328,0.074398249452954,0.102844638949671,rxsummary2009.xlsx,https://www.health.state.mn.us/data/apcd/publicusefiles/docs/rxsummary2009.xlsx,2026-09-19,Drug,LACOSAMIDE,457,578,145,149,175,336,868,,16.8,60.8,283.49,46.76,292.81
2009,COMMERCIAL,lamotrigine,LAMOTRIGINE,Neuromuscular Drugs,63016,10237,9904996.68,967.56,157.18,4.24,1.99,,30,37,60,78.6,52.88,136.4,8595793.43,10,20.74,1306967.1,67.87,157.18,9904996.68,0.0025820006188465,0.121572299098641,0.487971308873936,0.371794464897803,0.0186619271296178,0.661038466421226,0.338961533578773,0.686428843468325,0.110241843341373,0.0931985527485083,0.110130760441792,rxsummary2009.xlsx,https://www.health.state.mn.us/data/apcd/publicusefiles/docs/rxsummary2009.xlsx,2026-09-19,Drug,LAMOTRIGINE,63016,54,237,379,489,608,99,,20.2,71.2,237.68,58.73,251.26
2009,COMMERCIAL,levetiracetam,LEVETIRACETAM,Neuromuscular Drugs,31332,5338,7943948.04,1488.18,253.54,6.79,1.81,,30,37.3,120,139.8,123.64,224.25,7026313.16,12,29.23,915941.05,152.58,253.54,7943948.04,0.0020708011741973,0.21639218690157,0.330269373164815,0.380505553427805,0.0728328865058087,0.527830971530703,0.472169028469296,0.647612664368696,0.128367164560194,0.105898123324396,0.118122047746712,rxsummary2009.xlsx,https://www.health.state.mn.us/data/apcd/publicusefiles/docs/rxsummary2009.xlsx,2026-09-19,Drug,LEVETIRACETAM,31332,69,168,241,329,635,164,,20.8,123.8,296.49,68.72,307.12
2009,COMMERCIAL,methsuximide,METHSUXIMIDE,Neuromuscular Drugs,140,22,14366.68,653.03,102.61,2.92,1.33,,30,35,60,76.6,83.48,89.46,12524.83,0,13.08,1831.81,83.52,102.61,14366.68,3.7450569494e-06,,,,,0.621428571428571,0.378571428571428,,,,,rxsummary2009.xlsx,https://www.health.state.mn.us/data/apcd/publicusefiles/docs/rxsummary2009.xlsx,2026-09-19,Drug,METHSUXIMIDE,140,1021,327,534,633,707,1064,,20.1,51.2,49.29,22.82,56.62
2009,COMMERCIAL,oxcarbazepine,OXCARBAZEPINE,Neuromuscular Drugs,15797,2722,2800616.66,1028.88,177.28,4.88,1.39,,30,36.2,90,126.6,98.07,154.06,2433776.93,10.7,23.2,366525.35,114.61,177.28,2800616.66,0.0007300551613382,0.320567196303095,0.338165474457175,0.308223080331708,0.0330442489080205,0.526998797239982,0.473001202760017,0.637336203076533,0.131670570361461,0.100272203582958,0.130721022979046,rxsummary2009.xlsx,https://www.health.state.mn.us/data/apcd/publicusefiles/docs/rxsummary2009.xlsx,2026-09-19,Drug,OXCARBAZEPINE,15797,149,226,326,434,698,266,,19.4,116.5,189.64,46.97,199.51
2009,COMMERCIAL,phenobarbital,PHENOBARBITAL,Central Nervous System Drugs,5211,864,29387.27,34.01,5.63,0.13,0.04,,30,40.9,90,121.6,0,1.15,6019.93,3.77,4.47,23336.5,4.47,5.63,29387.27,7.6605729186e-06,0.0907695260026866,0.215697562847821,0.604682402609863,0.0888505085396277,0.564958741124544,0.435041258875455,0.60295528689311,0.123584724620994,0.124736135098829,0.148723853387065,rxsummary2009.xlsx,https://www.health.state.mn.us/data/apcd/publicusefiles/docs/rxsummary2009.xlsx,2026-09-19,Drug,PHENOBARBITAL,5211,920,1122,1322,1328,1336,430,,24.2,117.6,2.7,3.67,3.78
2009,COMMERCIAL,phenytoin,PHENYTOIN,Neuromuscular Drugs,1413,289,41637,144.07,29.46,0.73,0.33,,30,40.2,45,88.3,2.33,14.22,20093.14,12.78,15.23,21530.41,23.09,29.46,41637,1.08537905907e-05,0.0679405520169851,0.19108280254777,0.535031847133757,0.205944798301486,0.444444444444444,0.555555555555555,0.48761500353857,0.123849964614295,0.169143665958952,0.219391365888181,rxsummary2009.xlsx,https://www.health.state.mn.us/data/apcd/publicusefiles/docs/rxsummary2009.xlsx,2026-09-19,Drug,PHENYTOIN,1413,871,739,964,1110,1080,662,,24.8,102,24.36,13.73,26.88
