molecule,prior_quarter,prior_rx,drop_quarter,drop_rx,pct_change,molecules_dropping_20pct_same_quarter,fda_record_active,fda_records_active_n,fda_noninjectable_record_active,fda_statuses,fda_presentations
brivaracetam,2024Q1,696,2024Q2,473,-32.0,16,no,0,no,,
brivaracetam,2025Q1,1056,2025Q2,812,-23.1,6,no,0,no,,
cannabidiol,2024Q1,378,2024Q2,113,-70.1,16,no,0,no,,
cannabidiol,2025Q1,591,2025Q2,439,-25.7,6,no,0,no,,
carbamazepine,2024Q1,2224,2024Q2,1565,-29.6,16,no,0,no,,
carbamazepine,2024Q3,2003,2024Q4,1402,-30.0,16,no,0,no,,
cenobamate,2022Q1,47,2022Q2,20,-57.4,7,no,0,no,,
clobazam,2024Q1,1378,2024Q2,904,-34.4,16,no,0,no,,
eslicarbazepine,2020Q2,13,2020Q3,0,-100.0,2,no,0,no,,
eslicarbazepine,2024Q1,52,2024Q2,35,-32.7,16,no,0,no,,
eslicarbazepine,2025Q1,79,2025Q2,58,-26.6,6,no,0,no,,
eslicarbazepine,2025Q2,58,2025Q3,23,-60.3,3,no,0,no,,
eslicarbazepine,2025Q3,23,2025Q4,11,-52.2,2,no,0,no,,
ethosuximide,2024Q1,386,2024Q2,218,-43.5,16,no,0,no,,
ethosuximide,2024Q3,371,2024Q4,296,-20.2,16,no,0,no,,
felbamate,2020Q1,739,2020Q2,564,-23.7,3,no,0,no,,
felbamate,2022Q1,664,2022Q2,526,-20.8,7,no,0,no,,
felbamate,2024Q1,696,2024Q2,427,-38.6,16,no,0,no,,
felbamate,2024Q3,588,2024Q4,416,-29.3,16,no,0,no,,
fenfluramine,2024Q1,66,2024Q2,13,-80.3,16,no,0,no,,
lacosamide,2024Q1,2908,2024Q2,2203,-24.2,16,no,0,no,,
lacosamide,2024Q3,3058,2024Q4,2283,-25.3,16,no,0,no,,
levetiracetam,2024Q3,12057,2024Q4,9434,-21.8,16,no,0,no,,
methsuximide,2019Q2,37,2019Q3,24,-35.1,4,no,0,no,,
methsuximide,2020Q1,40,2020Q2,26,-35.0,3,no,0,no,,
methsuximide,2020Q3,23,2020Q4,18,-21.7,5,no,0,no,,
methsuximide,2021Q1,28,2021Q2,20,-28.6,1,no,0,no,,
methsuximide,2021Q3,21,2021Q4,0,-100.0,3,no,0,no,,
methsuximide,2022Q1,17,2022Q2,13,-23.5,7,no,0,no,,
methsuximide,2022Q3,13,2022Q4,0,-100.0,5,no,0,no,,
oxcarbazepine,2024Q1,5239,2024Q2,3966,-24.3,16,no,0,no,,
oxcarbazepine,2024Q3,5043,2024Q4,3650,-27.6,16,no,0,no,,
perampanel,2019Q2,108,2019Q3,72,-33.3,4,no,0,no,,
perampanel,2022Q1,218,2022Q2,158,-27.5,7,no,0,no,,
perampanel,2023Q4,175,2024Q1,121,-30.9,2,no,0,no,,
perampanel,2024Q3,209,2024Q4,127,-39.2,16,no,0,no,,
perampanel,2025Q1,238,2025Q2,149,-37.4,6,no,0,no,,
phenobarbital,2019Q2,715,2019Q3,572,-20.0,4,no,0,no,,
phenobarbital,2020Q3,681,2020Q4,526,-22.8,5,no,0,no,,
phenobarbital,2024Q1,440,2024Q2,350,-20.5,16,no,0,no,,
phenobarbital,2024Q3,423,2024Q4,220,-48.0,16,no,0,no,,
phenytoin,2024Q1,849,2024Q2,625,-26.4,16,no,0,no,,
phenytoin,2024Q3,775,2024Q4,557,-28.1,16,no,0,no,,
phenytoin,2025Q2,877,2025Q3,626,-28.6,3,no,0,no,,
primidone,2024Q1,381,2024Q2,292,-23.4,16,no,0,no,,
primidone,2024Q3,293,2024Q4,175,-40.3,16,no,0,no,,
primidone,2025Q2,397,2025Q3,255,-35.8,3,no,0,no,,
rescue_diazepam,2020Q1,409,2020Q2,280,-31.5,3,no,0,no,,
rescue_diazepam,2020Q3,287,2020Q4,134,-53.3,5,no,0,no,,
rescue_diazepam,2022Q1,522,2022Q2,368,-29.5,7,no,0,no,,
rescue_diazepam,2022Q3,868,2022Q4,632,-27.2,5,no,0,no,,
rescue_diazepam,2024Q3,1173,2024Q4,682,-41.9,16,no,0,no,,
rescue_diazepam,2025Q1,987,2025Q2,742,-24.8,6,no,0,no,,
rescue_diazepam,2025Q3,1127,2025Q4,840,-25.5,2,no,0,no,,
rescue_midazolam,2020Q3,33,2020Q4,0,-100.0,5,no,0,no,,
rescue_midazolam,2021Q3,54,2021Q4,34,-37.0,3,no,0,no,,
rescue_midazolam,2024Q3,268,2024Q4,169,-36.9,16,no,0,no,,
rufinamide,2022Q3,295,2022Q4,225,-23.7,5,no,0,no,,
rufinamide,2023Q1,294,2023Q2,235,-20.1,2,no,0,no,,
rufinamide,2023Q3,221,2023Q4,172,-22.2,1,no,0,no,,
rufinamide,2024Q1,188,2024Q2,110,-41.5,16,no,0,no,,
rufinamide,2024Q3,213,2024Q4,154,-27.7,16,no,0,no,,
rufinamide,2025Q1,213,2025Q2,167,-21.6,6,no,0,no,,
stiripentol,2020Q2,25,2020Q3,0,-100.0,2,no,0,no,,
stiripentol,2021Q2,13,2021Q3,0,-100.0,1,no,0,no,,
stiripentol,2022Q1,12,2022Q2,0,-100.0,7,no,0,no,,
stiripentol,2022Q3,13,2022Q4,0,-100.0,5,no,0,no,,
stiripentol,2023Q4,14,2024Q1,0,-100.0,2,no,0,no,,
stiripentol,2024Q2,11,2024Q3,0,-100.0,1,no,0,no,,
tiagabine,2019Q2,13,2019Q3,0,-100.0,4,no,0,no,,
tiagabine,2022Q3,11,2022Q4,0,-100.0,5,no,0,no,,
tiagabine,2023Q1,11,2023Q2,0,-100.0,2,no,0,no,,
topiramate,2024Q3,13699,2024Q4,9953,-27.3,16,no,0,no,,
valproate,2024Q3,12049,2024Q4,9355,-22.4,16,yes,2,no,Current,"Valproate Sodium, Injection, 100 mg/1 mL (NDC 63323-494-05); Valproate Sodium, Injection, 500 mg/5 mL (NDC 0143-9785-10)"
vigabatrin,2020Q3,46,2020Q4,28,-39.1,5,no,0,no,,
vigabatrin,2021Q3,60,2021Q4,40,-33.3,3,no,0,no,,
vigabatrin,2022Q1,46,2022Q2,33,-28.3,7,no,0,no,,
vigabatrin,2024Q1,45,2024Q2,36,-20.0,16,no,0,no,,
zonisamide,2024Q1,1896,2024Q2,1142,-39.8,16,no,0,no,,
zonisamide,2024Q3,1825,2024Q4,1188,-34.9,16,no,0,no,,
