year,molecule,sdud_product_prefix,example_product_name,molecule_generic_status,product_generic_status,orange_book_marketed_andas,orange_book_marketed_ndas,orange_book_first_anda,orange_book_discontinued_andas,nadac_generic_ndcs,nadac_brand_ndcs,prescriptions,total_reimbursed_usd,dollars_per_rx,units_per_rx,brand_dispensed_rx,brand_dispensed_usd,generic_dispensed_rx,generic_dispensed_usd,distinct_ndcs,suppressed_rows,share_of_all_asm_rx_pct,share_of_all_asm_spend_pct,molecule_evidence,nadac_evidence,product_evidence,estimated_people,person_estimate_basis
2025,cannabidiol,EPIDIOLEX,EPIDIOLEX,brand only,brand only,0,1,,0,0,0,2053,7676621.69,3739.22,223.6,2053,7676621.69,0,0.0,4,2,0.612,17.268,Orange Book 2026-09-11: 1 marketed brand (NDA) product and no marketed generic (ANDA) product of this ingredient.,NADAC 2019 to 2026: this molecule never appears (specialty pharmacy).,Marketed ANDAs of the same ingredient and dosage form: SOLUTION;ORAL (0).,171.1,"Assumed 12 fills a year. Epidiolex is dosed by weight (10 to 20 mg/kg/day), so days supply cannot be derived. Assumed one fill a month, the standard specialty-pharmacy dispensing cycle."
2025,brivaracetam,BRIVIACT,BRIVIACT,generic available,generic available,43,7,"Jun 9, 2022",10,26,9,3589,5611979.19,1563.66,129.9,3589,5611979.19,0,0.0,10,25,1.071,12.624,"Orange Book 2026-09-11: 43 marketed generic (ANDA) products, earliest approved Jun 9, 2022.","NADAC 2019 to 2026: 26 generic NDCs, 9 brand NDCs.",Marketed ANDAs of the same ingredient and dosage form: SOLUTION;INTRAVENOUS (4); SOLUTION;ORAL (6); TABLET;ORAL (33).,,
2025,rescue_diazepam,VALTOCO,VALTOCO,generic available,brand only,5,6,"May 30, 2023",0,15,10,3696,5336867.1,1443.96,4.3,3696,5336867.1,0,0.0,8,14,1.102,12.005,"Orange Book 2026-09-11: 5 marketed generic (ANDA) products, earliest approved May 30, 2023.","NADAC 2019 to 2026: 15 generic NDCs, 10 brand NDCs.",Marketed ANDAs of the same ingredient and dosage form: SPRAY;NASAL (0).,,"Taken as needed to stop a seizure. Fills per person per year cannot be derived or assumed, so no head count is given."
2025,fenfluramine,FINTEPLA,FINTEPLA,brand only,brand only,0,1,,0,0,0,294,3037407.25,10331.32,200.3,294,3037407.25,0,0.0,2,1,0.088,6.832,Orange Book 2026-09-11: 1 marketed brand (NDA) product and no marketed generic (ANDA) product of this ingredient.,NADAC 2019 to 2026: this molecule never appears (specialty pharmacy).,Marketed ANDAs of the same ingredient and dosage form: SOLUTION;ORAL (0).,24.5,Assumed 12 fills a year. Fintepla is dosed by weight and dispensed monthly through a restricted REMS pharmacy. Assumed one fill a month.
2025,vigabatrin,SABRIL,SABRIL,generic available,generic available,18,3,"Apr 27, 2017",9,0,0,113,2996529.0,26517.96,131.6,113,2996529.0,0,0.0,2,4,0.034,6.741,"Orange Book 2026-09-11: 18 marketed generic (ANDA) products, earliest approved Apr 27, 2017.",NADAC 2019 to 2026: this molecule never appears (specialty pharmacy).,Marketed ANDAs of the same ingredient and dosage form: FOR SOLUTION;ORAL (10); TABLET;ORAL (8).,,
2025,lamotrigine,LAMOTRIGIN,LAMOTRIGIN,generic available,generic available,144,18,"Jan 22, 2009",67,230,16,105221,2100293.9,19.96,65.4,0,0.0,105221,2100293.9,141,364,31.387,4.724,"Orange Book 2026-09-11: 144 marketed generic (ANDA) products, earliest approved Jan 22, 2009.","NADAC 2019 to 2026: 230 generic NDCs, 16 brand NDCs.",Generic-name product; same verdict as the molecule.,,
2025,cenobamate,XCOPRI,XCOPRI,brand only,brand only,0,6,,0,0,10,1353,1760800.52,1301.4,34.9,1353,1760800.52,0,0.0,10,33,0.404,3.961,Orange Book 2026-09-11: 6 marketed brand (NDA) products and no marketed generic (ANDA) product of this ingredient.,"NADAC 2019 to 2026: 0 generic NDCs, 10 brand NDCs.",Marketed ANDAs of the same ingredient and dosage form: TABLET;ORAL (0).,129.4,"34.9 units per prescription divided by 1 a day = 34.9 days supply, so 10.5 fills a year. Xcopri label: maintenance 200 mg once daily after titration. Days supply per prescription is derived from units reimbursed divided by prescriptions."
2025,levetiracetam,LEVETIRACE,LEVETIRACE,generic available,generic available,140,13,"Nov 4, 2008",90,218,15,51351,1590118.44,30.97,227.9,0,0.0,51351,1590118.44,167,419,15.318,3.577,"Orange Book 2026-09-11: 140 marketed generic (ANDA) products, earliest approved Nov 4, 2008.","NADAC 2019 to 2026: 218 generic NDCs, 15 brand NDCs.",Generic-name product; same verdict as the molecule.,,
2025,valproate,DIVALPROEX,DIVALPROEX,generic available,generic available,62,6,"Oct 29, 1991",36,186,16,43588,1499987.43,34.41,100.6,0,0.0,43588,1499987.43,92,165,13.002,3.374,"Orange Book 2026-09-11: 62 marketed generic (ANDA) products, earliest approved Oct 29, 1991.","NADAC 2019 to 2026: 186 generic NDCs, 16 brand NDCs.",Generic-name product; same verdict as the molecule.,,
2025,oxcarbazepine,OXCARBAZEP,OXCARBAZEP,generic available,generic available,51,7,"Oct 9, 2007",15,106,7,19280,1093042.93,56.69,162.3,0,0.0,19280,1093042.93,63,115,5.751,2.459,"Orange Book 2026-09-11: 51 marketed generic (ANDA) products, earliest approved Oct 9, 2007.","NADAC 2019 to 2026: 106 generic NDCs, 7 brand NDCs.",Generic-name product; same verdict as the molecule.,,
2025,vigabatrin,VIGADRONE,VIGADRONE,generic available,generic available,18,3,"Apr 27, 2017",9,0,0,107,942787.9,8811.1,115.8,0,0.0,107,942787.9,2,7,0.032,2.121,"Orange Book 2026-09-11: 18 marketed generic (ANDA) products, earliest approved Apr 27, 2017.",NADAC 2019 to 2026: this molecule never appears (specialty pharmacy).,Marketed ANDAs of the same ingredient and dosage form: FOR SOLUTION;ORAL (10).,,
2025,rescue_midazolam,NAYZILAM,NAYZILAM,brand only,brand only,0,1,,0,0,1,1145,882100.74,770.39,0.3,1145,882100.74,0,0.0,1,0,0.342,1.984,Orange Book 2026-09-11: 1 marketed brand (NDA) product and no marketed generic (ANDA) product of this ingredient.,"NADAC 2019 to 2026: 0 generic NDCs, 1 brand NDCs.",Marketed ANDAs of the same ingredient and dosage form: SPRAY;NASAL (0).,,"Taken as needed to stop a seizure. Fills per person per year cannot be derived or assumed, so no head count is given."
2025,lacosamide,LACOSAMIDE,LACOSAMIDE,generic available,generic available,72,9,"Mar 17, 2022",23,92,14,13324,791361.54,59.39,157.3,0,0.0,13324,791361.54,68,130,3.974,1.78,"Orange Book 2026-09-11: 72 marketed generic (ANDA) products, earliest approved Mar 17, 2022.","NADAC 2019 to 2026: 92 generic NDCs, 14 brand NDCs.",Generic-name product; same verdict as the molecule.,,
2025,topiramate,TOPIRAMATE,TOPIRAMATE,generic available,generic available,132,20,"Mar 27, 2009",65,200,25,50296,785808.86,15.62,80.2,0,0.0,50296,785808.86,97,228,15.003,1.768,"Orange Book 2026-09-11: 132 marketed generic (ANDA) products, earliest approved Mar 27, 2009.","NADAC 2019 to 2026: 200 generic NDCs, 25 brand NDCs.",Generic-name product; same verdict as the molecule.,,
2025,perampanel,FYCOMPA,FYCOMPA,generic available,generic available,20,7,"May 23, 2025",0,20,14,673,735159.76,1092.36,60.9,673,735159.76,0,0.0,12,28,0.201,1.654,"Orange Book 2026-09-11: 20 marketed generic (ANDA) products, earliest approved May 23, 2025.","NADAC 2019 to 2026: 20 generic NDCs, 14 brand NDCs.",Marketed ANDAs of the same ingredient and dosage form: SUSPENSION;ORAL (2); TABLET;ORAL (18).,,
2025,ganaxolone,ZTALMY,ZTALMY,brand only,brand only,0,1,,0,0,0,46,712485.07,15488.81,648.0,46,712485.07,0,0.0,1,2,0.014,1.603,Orange Book 2026-09-11: 1 marketed brand (NDA) product and no marketed generic (ANDA) product of this ingredient.,NADAC 2019 to 2026: this molecule never appears (specialty pharmacy).,Marketed ANDAs of the same ingredient and dosage form: SUSPENSION;ORAL (0).,3.8,Assumed 12 fills a year. Ztalmy is dosed by weight (up to 63 mg/kg/day). Assumed one fill a month.
2025,zonisamide,ZONISADE,ZONISADE,generic available,brand only,21,3,"Dec 22, 2005",36,37,2,856,689624.58,805.64,307.8,856,689624.58,0,0.0,1,0,0.255,1.551,"Orange Book 2026-09-11: 21 marketed generic (ANDA) products, earliest approved Dec 22, 2005.","NADAC 2019 to 2026: 37 generic NDCs, 2 brand NDCs.",Marketed ANDAs of the same ingredient and dosage form: SUSPENSION;ORAL (0).,,No dose assumption recorded for this product.
2025,lacosamide,VIMPAT,VIMPAT,generic available,generic available,72,9,"Mar 17, 2022",23,92,14,588,637927.35,1084.91,127.9,588,637927.35,0,0.0,10,34,0.175,1.435,"Orange Book 2026-09-11: 72 marketed generic (ANDA) products, earliest approved Mar 17, 2022.","NADAC 2019 to 2026: 92 generic NDCs, 14 brand NDCs.",Marketed ANDAs of the same ingredient and dosage form: SOLUTION;INTRAVENOUS (14); SOLUTION;ORAL (10); TABLET;ORAL (48).,,
2025,vigabatrin,VIGAFYDE,VIGAFYDE,generic available,brand only,18,3,"Apr 27, 2017",9,0,0,44,510902.93,11611.43,466.2,44,510902.93,0,0.0,1,5,0.013,1.149,"Orange Book 2026-09-11: 18 marketed generic (ANDA) products, earliest approved Apr 27, 2017.",NADAC 2019 to 2026: this molecule never appears (specialty pharmacy).,Marketed ANDAs of the same ingredient and dosage form: SOLUTION;ORAL (0).,,No dose assumption recorded for this product.
2025,felbamate,FELBAMATE,FELBAMATE,generic available,generic available,11,2,"Sep 13, 2011",2,37,2,2388,501277.58,209.92,270.2,0,0.0,2388,501277.58,20,73,0.712,1.128,"Orange Book 2026-09-11: 11 marketed generic (ANDA) products, earliest approved Sep 13, 2011.","NADAC 2019 to 2026: 37 generic NDCs, 2 brand NDCs.",Generic-name product; same verdict as the molecule.,,
2025,lamotrigine,LAMICTAL,LAMICTAL,generic available,generic available,144,18,"Jan 22, 2009",67,230,16,372,464778.09,1249.4,114.6,372,464778.09,0,0.0,15,55,0.111,1.045,"Orange Book 2026-09-11: 144 marketed generic (ANDA) products, earliest approved Jan 22, 2009.","NADAC 2019 to 2026: 230 generic NDCs, 16 brand NDCs.","Marketed ANDAs of the same ingredient and dosage form: TABLET, EXTENDED RELEASE;ORAL (49); TABLET, FOR SUSPENSION;ORAL (13); TABLET, ORALLY DISINTEGRATING;ORAL (32); TABLET;ORAL (50).",,
2025,carbamazepine,CARBAMAZEP,CARBAMAZEP,generic available,generic available,63,11,"Jul 29, 1992",28,116,8,7258,455247.45,62.72,140.3,0,0.0,7258,455247.45,61,166,2.165,1.024,"Orange Book 2026-09-11: 63 marketed generic (ANDA) products, earliest approved Jul 29, 1992.","NADAC 2019 to 2026: 116 generic NDCs, 8 brand NDCs.",Generic-name product; same verdict as the molecule.,,
2025,clobazam,ONFI,ONFI,generic available,generic available,28,6,"Oct 22, 2018",22,45,9,179,393453.38,2198.06,119.7,179,393453.38,0,0.0,3,8,0.053,0.885,"Orange Book 2026-09-11: 28 marketed generic (ANDA) products, earliest approved Oct 22, 2018.","NADAC 2019 to 2026: 45 generic NDCs, 9 brand NDCs.",Marketed ANDAs of the same ingredient and dosage form: SUSPENSION;ORAL (7); TABLET;ORAL (21).,,
2025,rufinamide,RUFINAMIDE,RUFINAMIDE,generic available,generic available,23,3,"May 16, 2016",0,22,3,799,374158.57,468.28,479.7,0,0.0,799,374158.57,20,78,0.238,0.842,"Orange Book 2026-09-11: 23 marketed generic (ANDA) products, earliest approved May 16, 2016.","NADAC 2019 to 2026: 22 generic NDCs, 3 brand NDCs.",Generic-name product; same verdict as the molecule.,,
2025,clobazam,CLOBAZAM,CLOBAZAM,generic available,generic available,28,6,"Oct 22, 2018",22,45,9,7034,328319.69,46.68,94.7,0,0.0,7034,328319.69,19,27,2.098,0.739,"Orange Book 2026-09-11: 28 marketed generic (ANDA) products, earliest approved Oct 22, 2018.","NADAC 2019 to 2026: 45 generic NDCs, 9 brand NDCs.",Generic-name product; same verdict as the molecule.,,
2025,levetiracetam,KEPPRA,KEPPRA,generic available,generic available,140,13,"Nov 4, 2008",90,218,15,216,321170.62,1486.9,244.6,216,321170.62,0,0.0,8,28,0.064,0.722,"Orange Book 2026-09-11: 140 marketed generic (ANDA) products, earliest approved Nov 4, 2008.","NADAC 2019 to 2026: 218 generic NDCs, 15 brand NDCs.","Marketed ANDAs of the same ingredient and dosage form: INJECTABLE;INTRAVENOUS (39); SOLUTION;ORAL (13); TABLET, EXTENDED RELEASE;ORAL (20); TABLET;ORAL (68).",,
2025,eslicarbazepine,APTIOM,APTIOM,generic available,generic available,36,4,"Jun 29, 2021",0,28,4,171,312713.65,1828.73,43.1,171,312713.65,0,0.0,4,18,0.051,0.703,"Orange Book 2026-09-11: 36 marketed generic (ANDA) products, earliest approved Jun 29, 2021.","NADAC 2019 to 2026: 28 generic NDCs, 4 brand NDCs.",Marketed ANDAs of the same ingredient and dosage form: TABLET;ORAL (36).,,
2025,stiripentol,DIACOMIT,DIACOMIT,brand only,brand only,0,4,,0,0,0,65,230964.94,3553.31,101.5,65,230964.94,0,0.0,4,22,0.019,0.52,Orange Book 2026-09-11: 4 marketed brand (NDA) products and no marketed generic (ANDA) product of this ingredient.,NADAC 2019 to 2026: this molecule never appears (specialty pharmacy).,Marketed ANDAs of the same ingredient and dosage form: CAPSULE;ORAL (0); FOR SUSPENSION;ORAL (0).,5.4,Assumed 12 fills a year. Diacomit is dosed by weight (50 mg/kg/day). Assumed one fill a month.
2025,topiramate,EPRONTIA,EPRONTIA,generic available,generic available,132,20,"Mar 27, 2009",65,200,25,534,227651.19,426.31,223.1,534,227651.19,0,0.0,3,9,0.159,0.512,"Orange Book 2026-09-11: 132 marketed generic (ANDA) products, earliest approved Mar 27, 2009.","NADAC 2019 to 2026: 200 generic NDCs, 25 brand NDCs.",Marketed ANDAs of the same ingredient and dosage form: SOLUTION;ORAL (1).,,
2025,oxcarbazepine,OXTELLAR,OXTELLAR X,generic available,generic available,51,7,"Oct 9, 2007",15,106,7,136,200878.23,1477.05,75.9,136,200878.23,0,0.0,3,8,0.041,0.452,"Orange Book 2026-09-11: 51 marketed generic (ANDA) products, earliest approved Oct 9, 2007.","NADAC 2019 to 2026: 106 generic NDCs, 7 brand NDCs.","Marketed ANDAs of the same ingredient and dosage form: TABLET, EXTENDED RELEASE;ORAL (9).",,
2025,zonisamide,ZONISAMIDE,ZONISAMIDE,generic available,generic available,21,3,"Dec 22, 2005",36,37,2,5957,186136.86,31.25,123.0,0,0.0,5957,186136.86,24,59,1.777,0.419,"Orange Book 2026-09-11: 21 marketed generic (ANDA) products, earliest approved Dec 22, 2005.","NADAC 2019 to 2026: 37 generic NDCs, 2 brand NDCs.",Generic-name product; same verdict as the molecule.,,
2025,valproate,VALPROIC,VALPROIC A,generic available,generic available,62,6,"Oct 29, 1991",36,186,16,4406,149569.18,33.95,577.9,0,0.0,4406,149569.18,9,10,1.314,0.336,"Orange Book 2026-09-11: 62 marketed generic (ANDA) products, earliest approved Oct 29, 1991.","NADAC 2019 to 2026: 186 generic NDCs, 16 brand NDCs.",Generic-name product; same verdict as the molecule.,,
2025,topiramate,TOPAMAX,TOPAMAX,generic available,generic available,132,20,"Mar 27, 2009",65,200,25,93,134879.76,1450.32,74.5,93,134879.76,0,0.0,6,29,0.028,0.303,"Orange Book 2026-09-11: 132 marketed generic (ANDA) products, earliest approved Mar 27, 2009.","NADAC 2019 to 2026: 200 generic NDCs, 25 brand NDCs.",Marketed ANDAs of the same ingredient and dosage form: CAPSULE;ORAL (19); TABLET;ORAL (39).,,
2025,phenytoin,DILANTIN,DILANTIN,generic available,generic available,21,2,"Approved Prior to Jan 1, 1982",40,64,2,765,104105.17,136.09,84.4,765,104105.17,0,0.0,9,20,0.228,0.234,"Orange Book 2026-09-11: 21 marketed generic (ANDA) products, earliest approved Approved Prior to Jan 1, 1982.","NADAC 2019 to 2026: 64 generic NDCs, 2 brand NDCs.","Marketed ANDAs of the same ingredient and dosage form: SUSPENSION;ORAL (1); TABLET, CHEWABLE;ORAL (4); CAPSULE;ORAL (7).",,
2025,valproate,DEPAKOTE,DEPAKOTE,generic available,generic available,62,6,"Oct 29, 1991",36,186,16,185,100982.7,545.85,217.0,185,100982.7,0,0.0,5,22,0.055,0.227,"Orange Book 2026-09-11: 62 marketed generic (ANDA) products, earliest approved Oct 29, 1991.","NADAC 2019 to 2026: 186 generic NDCs, 16 brand NDCs.","Marketed ANDAs of the same ingredient and dosage form: CAPSULE, DELAYED REL PELLETS;ORAL (5); TABLET, DELAYED RELEASE;ORAL (30); TABLET, EXTENDED RELEASE;ORAL (18).",,
2025,felbamate,FELBATOL,FELBATOL,generic available,generic available,11,2,"Sep 13, 2011",2,37,2,48,96463.0,2009.65,219.6,48,96463.0,0,0.0,2,12,0.014,0.217,"Orange Book 2026-09-11: 11 marketed generic (ANDA) products, earliest approved Sep 13, 2011.","NADAC 2019 to 2026: 37 generic NDCs, 2 brand NDCs.",Marketed ANDAs of the same ingredient and dosage form: TABLET;ORAL (8).,,
2025,ethosuximide,ETHOSUXIMI,ETHOSUXIMI,generic available,generic available,7,1,"Approved Prior to Jan 1, 1982",2,14,1,1552,85259.65,54.94,249.7,0,0.0,1552,85259.65,8,5,0.463,0.192,"Orange Book 2026-09-11: 7 marketed generic (ANDA) products, earliest approved Approved Prior to Jan 1, 1982.","NADAC 2019 to 2026: 14 generic NDCs, 1 brand NDCs.",Generic-name product; same verdict as the molecule.,,
