isd,district,county,lat,lon,nearest_neurology_miles,neurology_within_30mi,neurology_within_60mi,nearest_child_neurology_miles,child_neurology_within_30mi,child_neurology_within_60mi,nearest_epilepsy_miles,epilepsy_within_30mi,epilepsy_within_60mi,nearest_naec_center_miles,nearest_naec_center,classification,locale,enrollment,ems_p90_min,nurse_risk_tier,combined_risk_score,nearest_pharmacy_miles,pharmacies_within_15mi
2171,KITTSON CENTRAL SCHOOL DISTRICT,Kittson County,48.78022,-96.94761,63.4,0,0,130.2,0,0,132.5,0,0,316.2,"University of Minnesota Medical Center / MINCEP, Minneapolis",FOUND_MED_POLICY_ONLY,Rural,241.0,28.2,HIGH_RISK_SMALL,10,2.4,2
356,LANCASTER PUBLIC SCHOOL DISTRICT,Kittson County,48.855612,-96.803372,69.8,0,0,129.0,0,0,137.8,0,0,316.8,"University of Minnesota Medical Center / MINCEP, Minneapolis",NOT_VERIFIABLE,Rural,202.0,28.2,HIGH_RISK_SMALL,10,9.9,2
2856,STEPHEN-ARGYLE CENTRAL SCHOOLS,Marshall County,48.450923,-96.87864,41.8,0,4,110.2,0,0,109.7,0,0,295.9,"University of Minnesota Medical Center / MINCEP, Minneapolis",FOUND_MED_POLICY_ONLY,Rural,276.0,16.0,HIGH_RISK_SMALL,11,19.0,0
2903,ORTONVILLE PUBLIC SCHOOLS,Big Stone County,45.308693,-96.441969,69.6,0,0,108.5,0,0,109.9,0,0,156.9,"Minnesota Epilepsy Group with Children's Minnesota, St. Paul and Minneapolis",FOUND_SEIZURE_SPECIFIC,Rural,497.0,22.0,ELEVATED_RISK_MID,6,4.1,4
2358,TRI-COUNTY SCHOOL DISTRICT,Kittson County,48.573782,-96.524519,56.2,0,4,106.4,0,0,119.7,0,0,293.5,"University of Minnesota Medical Center / MINCEP, Minneapolis",NOT_FOUND,Rural,176.0,28.2,HIGH_RISK_SMALL,10,1.7,1
166,COOK COUNTY PUBLIC SCHOOLS,Cook County,47.756856,-90.334284,87.0,0,0,105.7,0,0,209.6,0,0,236.9,"University of Minnesota Medical Center / MINCEP, Minneapolis",FOUND_MED_POLICY_ONLY,Rural,457.0,32.0,HIGH_RISK_SMALL,9,17.6,0
676,BADGER PUBLIC SCHOOL DISTRICT,Roseau County,48.781126,-96.016019,81.4,0,0,102.7,0,0,139.2,0,0,294.1,"University of Minnesota Medical Center / MINCEP, Minneapolis",FOUND_MED_POLICY_ONLY,Rural,222.0,23.0,HIGH_RISK_SMALL,10,10.1,4
2683,Greenbush Middle River Schools,Roseau County,48.695981,-96.183615,72.0,0,0,102.1,0,0,131.3,0,0,292.6,"University of Minnesota Medical Center / MINCEP, Minneapolis",FOUND_MED_POLICY_ONLY,Rural,226.0,23.0,HIGH_RISK_SMALL,10,4.1,2
682,ROSEAU PUBLIC SCHOOL DISTRICT,Roseau County,48.848729,-95.756028,92.8,0,0,101.2,0,0,147.6,0,0,293.1,"University of Minnesota Medical Center / MINCEP, Minneapolis",NOT_FOUND,Rural,1120.0,23.0,LOW_RISK_LARGE,7,2.8,2
2448,MARTIN COUNTY WEST SCHOOL DISTRICT,Martin County,43.65849,-94.726345,13.2,1,5,101.0,0,0,99.1,0,0,115.0,"Minnesota Epilepsy Group with Children's Minnesota, St. Paul and Minneapolis",FOUND_MED_POLICY_ONLY,Rural,630.0,16.0,ELEVATED_RISK_MID,10,13.2,13
378,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,Lac qui Parle County,44.930218,-96.058279,51.0,0,2,100.2,0,0,97.1,0,0,136.7,"Minnesota Epilepsy Group with Children's Minnesota, St. Paul and Minneapolis",FOUND_SEIZURE_SPECIFIC,Rural,566.0,21.0,ELEVATED_RISK_MID,6,1.0,4
361,INTERNATIONAL FALLS SCHOOL DISTRICT,Koochiching County,48.594326,-93.42678,99.8,0,0,99.8,0,0,202.0,0,0,250.5,"University of Minnesota Medical Center / MINCEP, Minneapolis",FOUND_MED_POLICY_ONLY,Town,888.0,29.0,ELEVATED_RISK_MID,9,14.1,3
690,WARROAD PUBLIC SCHOOL DISTRICT,Roseau County,48.910843,-95.329776,99.0,0,0,99.0,0,0,159.8,0,0,289.6,"University of Minnesota Medical Center / MINCEP, Minneapolis",FOUND_MED_POLICY_ONLY,Rural,1053.0,23.0,LOW_RISK_LARGE,7,7.1,3
2888,CLINTON-GRACEVILLE-BEARDSLEY,Big Stone County,45.462321,-96.440716,72.4,0,0,98.0,0,0,99.6,0,0,158.6,"Minnesota Epilepsy Group with Children's Minnesota, St. Paul and Minneapolis",FOUND_MED_POLICY_ONLY,Rural,328.0,22.0,HIGH_RISK_SMALL,10,7.2,4
2752,FAIRMONT AREA SCHOOL DISTRICT,Martin County,43.646304,-94.452678,1.8,1,5,97.5,0,0,100.1,0,0,102.3,"Mayo Clinic, Rochester (adult and pediatric)",FOUND_MED_POLICY_ONLY,Town,1818.0,16.0,LOW_RISK_LARGE,8,1.8,8
2853,Lac qui Parle Valley Schools,Lac qui Parle County,45.072812,-96.060095,49.7,0,2,96.3,0,0,106.4,0,0,136.8,"Minnesota Epilepsy Group with Children's Minnesota, St. Paul and Minneapolis",FOUND_MED_POLICY_ONLY,Rural,834.0,21.0,ELEVATED_RISK_MID,9,7.5,5
640,WABASSO PUBLIC SCHOOL DISTRICT,Redwood County,44.405508,-95.254208,49.2,0,2,95.5,0,0,91.0,0,0,104.8,"Minnesota Epilepsy Group with Children's Minnesota, St. Paul and Minneapolis",FOUND_SEIZURE_SPECIFIC,Rural,418.0,18.0,HIGH_RISK_SMALL,8,10.4,4
173,MOUNTAIN LAKE PUBLIC SCHOOLS,Cottonwood County,43.941578,-94.927152,31.8,0,5,94.8,0,0,91.8,0,0,107.7,"Minnesota Epilepsy Group with Children's Minnesota, St. Paul and Minneapolis",FOUND_MED_POLICY_ONLY,Rural,509.0,14.0,HIGH_RISK_SMALL,11,0.3,5
771,Chokio-Alberta Public Schools,Stevens County,45.572957,-96.176078,64.0,0,0,93.9,0,0,96.2,0,0,148.0,"Minnesota Epilepsy Group with Children's Minnesota, St. Paul and Minneapolis",FOUND_MED_POLICY_ONLY,Rural,140.0,17.0,HIGH_RISK_SMALL,10,11.9,5
836,Butterfield-Odin Public Schools,Watonwan County,43.959367,-94.791331,28.4,1,5,93.8,0,0,95.7,0,0,101.9,"Minnesota Epilepsy Group with Children's Minnesota, St. Paul and Minneapolis",FOUND_MED_POLICY_ONLY,Rural,210.0,19.0,HIGH_RISK_SMALL,12,7.1,5
81,COMFREY PUBLIC SCHOOL DISTRICT,Brown County,44.109207,-94.908073,40.2,0,5,92.8,0,0,93.8,0,0,99.8,"Minnesota Epilepsy Group with Children's Minnesota, St. Paul and Minneapolis",FOUND_MED_POLICY_ONLY,Rural,105.0,16.0,HIGH_RISK_SMALL,11,0.8,3
2167,LAKEVIEW SCHOOL DISTRICT,Lyon County,44.621822,-95.667675,45.1,0,2,92.7,0,0,87.2,0,0,120.1,"Minnesota Epilepsy Group with Children's Minnesota, St. Paul and Minneapolis",FOUND_SEIZURE_SPECIFIC,Rural,724.0,14.0,ELEVATED_RISK_MID,6,12.2,8
2176,WARREN-ALVARADO-OSLO SCHOOL DIST.,Marshall County,48.194275,-96.767447,28.2,4,4,92.5,0,0,92.3,0,0,278.8,"University of Minnesota Medical Center / MINCEP, Minneapolis",FOUND_MED_POLICY_ONLY,Rural,580.0,16.0,ELEVATED_RISK_MID,10,2.2,1
85,SPRINGFIELD PUBLIC SCHOOL DISTRICT,Brown County,44.237898,-94.982398,49.7,0,7,92.0,0,0,92.2,0,0,97.9,"Minnesota Epilepsy Group with Children's Minnesota, St. Paul and Minneapolis",FOUND_SEIZURE_SPECIFIC,Rural,599.0,16.0,ELEVATED_RISK_MID,7,0.4,4
707,NETT LAKE PUBLIC SCHOOL DISTRICT,St. Louis County,48.109661,-93.095592,79.5,0,0,91.6,0,0,198.7,0,0,216.9,"University of Minnesota Medical Center / MINCEP, Minneapolis",FOUND_MED_POLICY_ONLY,Rural,48.0,17.0,HIGH_RISK_SMALL,10,21.2,0
2536,Granada Huntley East Chain,Martin County,43.697871,-94.345687,8.0,1,5,91.5,0,0,94.0,0,0,96.3,"Mayo Clinic, Rochester (adult and pediatric)",FOUND_MED_POLICY_ONLY,Rural,303.0,16.0,HIGH_RISK_SMALL,11,8.0,10
441,MARSHALL COUNTY CENTRAL SCHOOLS,Marshall County,48.35737,-96.332897,50.2,0,4,89.9,0,0,106.9,0,0,276.2,"University of Minnesota Medical Center / MINCEP, Minneapolis",NOT_VERIFIABLE,Rural,459.0,16.0,HIGH_RISK_SMALL,11,16.7,0
