isd,district,county,enrollment_2021,english_learners_2021,el_share_pct,classification,locale,has_public_seizure_plan
836,BUTTERFIELD PUBLIC SCHOOL DISTRICT,Watonwan County,226,112,49.6,FOUND_MED_POLICY_ONLY,Rural,0
518,WORTHINGTON PUBLIC SCHOOL DISTRICT,Nobles County,3797,1327,34.9,NOT_VERIFIABLE,Town,0
13,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,Anoka County,3258,1047,32.1,FOUND_MED_POLICY_ONLY,Suburb,0
2753,Long Prairie-Grey Eagle School Dist,Todd County,937,276,29.5,FOUND_MED_POLICY_ONLY,Rural,0
625,ST. PAUL PUBLIC SCHOOL DISTRICT,Ramsey County,33475,9495,28.4,FOUND_SEIZURE_SPECIFIC,City,1
2907,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,Nobles County,432,122,28.2,NOT_FOUND,Rural,0
656,FARIBAULT PUBLIC SCHOOL DISTRICT,Rice County,3328,877,26.4,FOUND_MED_POLICY_ONLY,Town,0
840,ST. JAMES PUBLIC SCHOOL DISTRICT,Watonwan County,1076,259,24.1,NOT_FOUND,Rural,0
347,WILLMAR PUBLIC SCHOOL DISTRICT,Kandiyohi County,4332,1016,23.5,FOUND_MED_POLICY_ONLY,Town,0
280,RICHFIELD PUBLIC SCHOOL DISTRICT,Hennepin County,4151,958,23.1,FOUND_SEIZURE_SPECIFIC,Suburb,1
742,ST. CLOUD PUBLIC SCHOOL DISTRICT,Stearns County,9546,2133,22.3,FOUND_MED_POLICY_ONLY,City,0
492,AUSTIN PUBLIC SCHOOL DISTRICT,Mower County,5182,1107,21.4,FOUND_SEIZURE_SPECIFIC,Town,1
837,MADELIA PUBLIC SCHOOL DISTRICT,Watonwan County,629,134,21.3,FOUND_MED_POLICY_ONLY,Rural,0
191,BURNSVILLE PUBLIC SCHOOL DISTRICT,Dakota County,7745,1591,20.5,FOUND_SEIZURE_SPECIFIC,City,1
2898,WESTBROOK-WALNUT GROVE SCHOOLS,Cottonwood County,454,86,18.9,FOUND_MED_POLICY_ONLY,Rural,0
2890,Renville County West Schools,Renville County,585,104,17.8,FOUND_SEIZURE_SPECIFIC,Rural,1
286,BROOKLYN CENTER SCHOOL DISTRICT,Hennepin County,2167,380,17.5,FOUND_MED_POLICY_ONLY,Suburb,0
548,Pelican Rapids Public Schools,Otter Tail County,867,151,17.4,FOUND_MED_POLICY_ONLY,Rural,0
30001,Minneapolis Public School District,Hennepin County,30115,5079,16.9,FOUND_MED_POLICY_ONLY,City,0
622,North St. Paul-Maplewood Oakdale,Ramsey County,10450,1629,15.6,FOUND_SEIZURE_SPECIFIC,Suburb,1
623,ROSEVILLE PUBLIC SCHOOL DISTRICT,Ramsey County,7379,1119,15.2,FOUND_SEIZURE_SPECIFIC,Suburb,1
177,WINDOM PUBLIC SCHOOL DISTRICT,Cottonwood County,1153,175,15.2,NOT_FOUND,Rural,0
173,MOUNTAIN LAKE PUBLIC SCHOOLS,Cottonwood County,502,74,14.7,FOUND_MED_POLICY_ONLY,Rural,0
413,MARSHALL PUBLIC SCHOOL DISTRICT,Lyon County,2662,382,14.4,FOUND_MED_POLICY_ONLY,Town,0
2853,Lac qui Parle Valley Schools,Lac qui Parle County,811,116,14.3,FOUND_MED_POLICY_ONLY,Rural,0
14,FRIDLEY PUBLIC SCHOOL DISTRICT,Anoka County,2889,409,14.2,FOUND_MED_POLICY_ONLY,Suburb,0
720,SHAKOPEE PUBLIC SCHOOL DISTRICT,Scott County,7950,1075,13.5,FOUND_SEIZURE_SPECIFIC,Suburb,1
271,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Hennepin County,10347,1372,13.3,FOUND_SEIZURE_SPECIFIC,City,1
581,EDGERTON PUBLIC SCHOOL DISTRICT,Pipestone County,444,57,12.8,FOUND_MED_POLICY_ONLY,Rural,0
740,MELROSE PUBLIC SCHOOL DISTRICT,Stearns County,1269,158,12.5,FOUND_MED_POLICY_ONLY,Rural,0
16,SPRING LAKE PARK PUBLIC SCHOOLS,Anoka County,6187,773,12.5,FOUND_SEIZURE_SPECIFIC,Suburb,1
197,West St. Paul-Mendota Heights-Eagan,Dakota County,5053,623,12.3,FOUND_SEIZURE_SPECIFIC,Suburb,1
129,MONTEVIDEO PUBLIC SCHOOL DISTRICT,Chippewa County,1333,160,12.0,FOUND_SEIZURE_SPECIFIC,Town,1
281,ROBBINSDALE PUBLIC SCHOOL DISTRICT,Hennepin County,11362,1334,11.7,FOUND_SEIZURE_SPECIFIC,Suburb,1
2310,SIBLEY EAST SCHOOL DISTRICT,Sibley County,1050,122,11.6,FOUND_MED_POLICY_ONLY,Rural,0
