isd,mde_district_code,district,school_year,total_enrollment,public_enrollment,sped_count,ohd_count,ohd_share_of_enrollment_pct,ohd_share_of_sped_pct,suppression_flag,source
11,0011-01,Anoka-Hennepin School District,"2025-26 (Dec 1, 2025 count)",41286,39595,8086,1016,2.46,12.6,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
196,0196-01,Rosemount-Apple Valley-Eagan,"2025-26 (Dec 1, 2025 count)",29432,27996,5274,753,2.56,14.3,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
30001,0001-03,Minneapolis Public School District,"2025-26 (Dec 1, 2025 count)",40577,35763,6952,735,1.81,10.6,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
625,0625-01,Saint Paul Public Schools,"2025-26 (Dec 1, 2025 count)",38133,33371,7356,680,1.78,9.2,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
833,0833-01,South Washington County,"2025-26 (Dec 1, 2025 count)",21283,19959,4238,526,2.47,12.4,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
535,0535-01,Rochester Public School District,"2025-26 (Dec 1, 2025 count)",20784,18478,3862,456,2.19,11.8,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
279,0279-01,Osseo Public School District,"2025-26 (Dec 1, 2025 count)",24600,22460,3856,422,1.72,10.9,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
194,0194-01,Lakeville Area Schools,"2025-26 (Dec 1, 2025 count)",12920,12131,2158,305,2.36,14.1,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
728,0728-01,Elk River Public School District,"2025-26 (Dec 1, 2025 count)",15591,15205,2796,289,1.85,10.3,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
742,0742-01,St. Cloud,"2025-26 (Dec 1, 2025 count)",14601,12722,3166,276,1.89,8.7,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
621,0621-01,Mounds View Public School District,"2025-26 (Dec 1, 2025 count)",12436,11465,1841,274,2.2,14.9,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
284,0284-01,Wayzata Public Schools,"2025-26 (Dec 1, 2025 count)",15632,13944,1892,273,1.75,14.4,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
112,0112-01,Eastern Carver County,"2025-26 (Dec 1, 2025 count)",12776,10293,1838,267,2.09,14.5,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
281,0281-01,Robbinsdale Public School District,"2025-26 (Dec 1, 2025 count)",11421,10771,2301,260,2.28,11.3,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
191,0191-01,Burnsville-Eagan-Savage Schools,"2025-26 (Dec 1, 2025 count)",9635,9398,1970,237,2.46,12.0,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
152,0152-01,Moorhead Area Public Schools,"2025-26 (Dec 1, 2025 count)",8621,7987,1840,237,2.75,12.9,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
624,0624-01,White Bear Lake Area Schools,"2025-26 (Dec 1, 2025 count)",9347,8656,1894,236,2.52,12.5,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
622,0622-01,North St. Paul-Maplewood Oakdale,"2025-26 (Dec 1, 2025 count)",12613,11085,2590,210,1.66,8.1,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
709,0709-01,Duluth,"2025-26 (Dec 1, 2025 count)",10516,9280,2335,208,1.98,8.9,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
834,0834-01,Stillwater Area Public Schools,"2025-26 (Dec 1, 2025 count)",9301,8615,1802,206,2.21,11.4,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
77,0077-01,Mankato Area Public Schools,"2025-26 (Dec 1, 2025 count)",9482,8428,1686,199,2.1,11.8,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
719,0719-01,Prior Lake-Savage,"2025-26 (Dec 1, 2025 count)",8185,7519,1245,190,2.32,15.3,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
273,0273-01,Edina Public School District,"2025-26 (Dec 1, 2025 count)",8031,7039,1212,182,2.27,15.0,not_suppressed_in_source,"MDE MFR Special Ed. Unduplicated Child Count Report #4, FY 25-26"
