isd,district,classification,locale,county,fips,enrollment,uninsured,disability,seizure_specific,ems_avg_min,ems_p90_min,ems_response_risk_tier,seizure_emergency_risk,rural_urban_category,nurse_risk_tier,prob_no_nurse,dual_risk,combined_risk_score,support_staff_fte
709,Duluth,FOUND_SEIZURE_SPECIFIC,City,St. Louis County,27137,8757.0,6.8,30.8,1,9.47,17.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,4,155.0
270,Hopkins,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,6977.0,7.5,25.0,1,7.54,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,164.0
272,Eden Prairie,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,8963.0,7.5,25.0,1,7.54,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,184.0
742,St. Cloud,FOUND_MED_POLICY_ONLY,City,Stearns County,27145,9543.0,7.9,27.6,0,9.42,18.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,6,280.0
112,Eastern Carver County,FOUND_SEIZURE_SPECIFIC,Suburb,Carver County,27019,9254.0,5.8,23.3,1,8.35,14.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,256.0
833,South Washington County,FOUND_MED_POLICY_ONLY,Suburb,Washington County,27163,19360.0,5.8,23.5,0,6.82,12.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,6,386.0
719,Prior Lake-Savage,FOUND_SEIZURE_SPECIFIC,Suburb,Scott County,27139,8777.0,6.6,23.7,1,9.08,15.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,3,157.0
286,Brooklyn Center,FOUND_MED_POLICY_ONLY,Suburb,Hennepin County,27053,2099.0,7.5,25.0,0,7.54,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,6,87.0
861,Winona Area,FOUND_MED_POLICY_ONLY,Town,Winona County,27169,2433.0,7.3,29.1,0,8.03,14.0,STANDARD,LOW,Nonmetro-Urban,LOW_RISK_LARGE,7%,False,6,40.0
656,Faribault,FOUND_MED_POLICY_ONLY,Town,Rice County,27131,3107.0,8.7,28.1,0,8.49,16.0,STANDARD,MODERATE,Nonmetro-Urban,LOW_RISK_LARGE,7%,False,7,87.0
206,Alexandria,FOUND_SEIZURE_SPECIFIC,Town,Douglas County,27041,4021.0,6.9,29.6,1,9.42,18.0,STANDARD,MODERATE,Nonmetro-Large Town,LOW_RISK_LARGE,7%,False,3,54.0
347,Willmar,FOUND_MED_POLICY_ONLY,Town,Kandiyohi County,27067,4220.0,10.0,30.0,0,8.57,15.0,STANDARD,MODERATE,Nonmetro-Urban,LOW_RISK_LARGE,7%,False,8,84.0
88,New Ulm,FOUND_SEIZURE_SPECIFIC,Town,Brown County,27015,2135.0,8.1,30.2,1,8.53,16.0,STANDARD,MODERATE,Nonmetro-Large Town,LOW_RISK_LARGE,7%,False,5,21.0
94,Cloquet,FOUND_SEIZURE_SPECIFIC,Town,Carlton County,27017,2598.0,8.0,31.0,1,9.33,18.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,5,70.0
2137,Kingsland,FOUND_MED_POLICY_ONLY,Rural,Fillmore County,27045,517.0,7.6,31.6,0,11.38,18.0,ELEVATED,MODERATE,Metropolitan,ELEVATED_RISK_MID,60%,True,9,9.0
2609,Win-E-Mac,FOUND_SEIZURE_SPECIFIC,Rural,Polk County,27119,444.0,8.3,29.7,1,10.04,17.0,ELEVATED,MODERATE,Metropolitan,HIGH_RISK_SMALL,83%,False,7,1.0
2711,Mesabi East,FOUND_MED_POLICY_ONLY,Rural,St. Louis County,27137,871.0,6.8,30.8,0,9.47,17.0,STANDARD,MODERATE,Metropolitan,ELEVATED_RISK_MID,60%,True,9,7.0
857,Lewiston-Altura,FOUND_MED_POLICY_ONLY,Rural,Winona County,27169,591.0,7.3,29.1,0,8.03,14.0,STANDARD,LOW,Nonmetro-Urban,ELEVATED_RISK_MID,60%,True,8,8.0
690,Warroad,FOUND_MED_POLICY_ONLY,Rural,Roseau County,27135,1053.0,7.8,30.7,0,11.95,23.0,ELEVATED,HIGH,Rural,LOW_RISK_LARGE,7%,False,7,9.0
466,Dassel-Cokato,FOUND_SEIZURE_SPECIFIC,Rural,Wright County,27171,2015.0,6.8,26.0,1,11.37,20.0,ELEVATED,HIGH,Metropolitan,LOW_RISK_LARGE,7%,False,3,23.0
11,Anoka-Hennepin School District,FOUND_SEIZURE_SPECIFIC,Suburb,Anoka County,27003,38631.0,7.5,28.1,1,8.98,15.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,3,741.0
625,Saint Paul Public Schools,FOUND_SEIZURE_SPECIFIC,City,Ramsey County,27123,32145.0,7.8,27.9,1,6.3,10.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,1101.0
196,Rosemount-Apple Valley-Eagan,FOUND_SEIZURE_SPECIFIC,Suburb,Dakota County,27037,29115.0,7.1,25.8,1,7.53,12.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,434.0
1,Aitkin Public School District,FOUND_MED_POLICY_ONLY,Rural,Aitkin County,27001,995.0,7.4,34.7,0,13.86,26.0,HIGH,VERY HIGH,Rural,ELEVATED_RISK_MID,60%,True,9,13.0
30001,Minneapolis Public School District,FOUND_MED_POLICY_ONLY,City,Hennepin County,27053,29063.0,7.5,25.0,0,7.54,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,6,1055.0
279,Osseo Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Hennepin County,27053,20776.0,7.5,25.0,1,7.54,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,405.0
535,Rochester Public School District,FOUND_SEIZURE_SPECIFIC,City,Olmsted County,27109,17342.0,6.7,24.9,1,7.53,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,214.0
728,Elk River Public School District,FOUND_MED_POLICY_ONLY,Suburb,Sherburne County,27141,14352.0,7.1,27.3,0,10.27,17.0,ELEVATED,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,6,297.0
284,Wayzata Public Schools,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,12625.0,7.5,25.0,1,7.54,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,248.0
194,Lakeville Area Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Dakota County,27037,12021.0,7.1,25.8,1,7.53,12.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,213.0
621,Mounds View Public School District,NOT_FOUND,Suburb,Ramsey County,27123,11632.0,7.8,27.9,0,6.3,10.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,6,191.0
276,Minnetonka Public School District,FOUND_MED_POLICY_ONLY,City,Hennepin County,27053,11356.0,7.5,25.0,0,7.54,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,6,139.0
281,Robbinsdale Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Hennepin County,27053,10735.0,7.5,25.0,1,7.54,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,424.0
622,North St. Paul-Maplewood Oakdale,FOUND_SEIZURE_SPECIFIC,Suburb,Ramsey County,27123,10633.0,7.8,27.9,1,6.3,10.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,362.0
271,Bloomington Public School District,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,10294.0,7.5,25.0,1,7.54,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,236.0
273,Edina Public School District,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,8609.0,7.5,25.0,1,7.54,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,202.0
624,White Bear Lake Area Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Ramsey County,27123,8549.0,7.8,27.9,1,6.3,10.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,189.0
834,Stillwater Area Public Schools,FOUND_SEIZURE_SPECIFIC,Town,Washington County,27163,8368.0,5.8,23.5,1,6.82,12.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,194.0
77,Mankato Area Public Schools,FOUND_SEIZURE_SPECIFIC,City,Blue Earth County,27013,8276.0,7.9,28.8,1,8.53,15.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,3,97.0
720,Shakopee Public Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Scott County,27139,7678.0,6.6,23.7,1,9.08,15.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,3,137.0
191,Burnsville-Eagan-Savage Schools,FOUND_SEIZURE_SPECIFIC,City,Dakota County,27037,7594.0,7.1,25.8,1,7.53,12.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,181.0
152,Moorhead Area Public Schools,FOUND_MED_POLICY_ONLY,Suburb,Clay County,27027,7460.0,7.2,27.4,0,8.87,15.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,6,100.0
623,Roseville Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Ramsey County,27123,7355.0,7.8,27.9,1,6.3,10.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,151.0
12,Centennial Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Anoka County,27003,6772.0,7.5,28.1,1,8.98,15.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,3,104.0
885,St. Michael-Albertville Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Wright County,27171,6696.0,6.8,26.0,1,11.37,20.0,ELEVATED,HIGH,Metropolitan,LOW_RISK_LARGE,7%,False,3,106.0
192,Farmington Public School District,FOUND_MED_POLICY_ONLY,Suburb,Dakota County,27037,6630.0,7.1,25.8,0,7.53,12.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,6,99.0
16,Spring Lake Park Public Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Anoka County,27003,6140.0,7.5,28.1,1,8.98,15.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,3,130.0
181,Brainerd Public School District,FOUND_SEIZURE_SPECIFIC,Town,Crow Wing County,27035,6134.0,7.0,30.7,1,10.5,19.0,ELEVATED,MODERATE,Nonmetro-Urban,LOW_RISK_LARGE,7%,False,4,99.0
831,Forest Lake Public School District,FOUND_SEIZURE_SPECIFIC,Town,Washington County,27163,5763.0,5.8,23.5,1,6.82,12.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,90.0
197,West St. Paul-Mendota Heights-Eagan,FOUND_SEIZURE_SPECIFIC,Suburb,Dakota County,27037,5293.0,7.1,25.8,1,7.53,12.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,41.0
877,Buffalo-Hanover-Montrose Schools,FOUND_SEIZURE_SPECIFIC,Town,Wright County,27171,5282.0,6.8,26.0,1,11.37,20.0,ELEVATED,HIGH,Metropolitan,LOW_RISK_LARGE,7%,False,3,68.0
492,Austin Public School District,FOUND_SEIZURE_SPECIFIC,Town,Mower County,27099,5146.0,10.6,30.9,1,7.73,14.0,STANDARD,LOW,Nonmetro-Urban,LOW_RISK_LARGE,7%,False,5,106.0
911,Cambridge-Isanti Schools,FOUND_SEIZURE_SPECIFIC,Town,Isanti County,27059,5092.0,8.0,29.0,1,11.38,20.0,ELEVATED,HIGH,Metropolitan,LOW_RISK_LARGE,7%,False,4,75.0
761,Owatonna Public School District,FOUND_MED_POLICY_ONLY,Town,Steele County,27147,4995.0,8.2,28.2,0,7.59,13.0,STANDARD,LOW,Nonmetro-Urban,LOW_RISK_LARGE,7%,False,7,83.0
31,Bemidji Area Schools,NOT_VERIFIABLE,Town,Beltrami County,27007,4812.0,8.2,32.7,0,8.89,16.0,STANDARD,MODERATE,Nonmetro-Large Town,LOW_RISK_LARGE,7%,False,8,95.0
47,Sauk Rapids-Rice Public Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Benton County,27009,4352.0,8.0,28.4,1,10.82,20.0,ELEVATED,HIGH,Metropolitan,LOW_RISK_LARGE,7%,False,4,43.0
283,St. Louis Park Public School District,FOUND_MED_POLICY_ONLY,City,Hennepin County,27053,4347.0,7.5,25.0,0,7.54,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,6,92.0
15,St. Francis Area Schools,FOUND_SEIZURE_SPECIFIC,Town,Anoka County,27003,4236.0,7.5,28.1,1,8.98,15.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,3,67.0
882,Monticello Public School District,FOUND_MED_POLICY_ONLY,Town,Wright County,27171,4138.0,6.8,26.0,0,11.37,20.0,ELEVATED,HIGH,Metropolitan,LOW_RISK_LARGE,7%,False,6,52.0
200,Hastings Public School District,FOUND_SEIZURE_SPECIFIC,Town,Dakota County,27037,4095.0,7.1,25.8,1,7.53,12.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,54.0
721,New Prague Area Schools,FOUND_MED_POLICY_ONLY,Town,Scott County,27139,4072.0,6.6,23.7,0,9.08,15.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,6,43.0
748,Sartell-St. Stephen School District,FOUND_MED_POLICY_ONLY,Suburb,Stearns County,27145,4046.0,7.9,27.6,0,9.42,18.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,6,39.0
280,Richfield Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Hennepin County,27053,4043.0,7.5,25.0,1,7.54,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,132.0
318,Grand Rapids Public School District,FOUND_SEIZURE_SPECIFIC,Rural,Itasca County,27061,4024.0,7.1,32.7,1,11.9,22.0,ELEVATED,HIGH,Nonmetro-Large Town,LOW_RISK_LARGE,7%,False,4,44.0
110,Waconia Public Schools,FOUND_SEIZURE_SPECIFIC,Town,Carver County,27019,4000.0,5.8,23.3,1,8.35,14.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,59.0
518,Worthington Public School District,NOT_VERIFIABLE,Town,Nobles County,27105,3914.0,16.5,33.2,0,9.18,18.0,STANDARD,MODERATE,Nonmetro-Large Town,LOW_RISK_LARGE,7%,False,10,52.0
659,Northfield Public School District,FOUND_MED_POLICY_ONLY,Town,Rice County,27131,3875.0,8.7,28.1,0,8.49,16.0,STANDARD,MODERATE,Nonmetro-Urban,LOW_RISK_LARGE,7%,False,7,56.0
199,Inver Grove Heights Schools,FOUND_MED_POLICY_ONLY,Suburb,Dakota County,27037,3510.0,7.1,25.8,0,7.53,12.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,6,66.0
13,Columbia Heights Public School Dist,FOUND_MED_POLICY_ONLY,Suburb,Anoka County,27003,3420.0,7.5,28.1,0,8.98,15.0,STANDARD,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,6,65.0
241,Albert Lea Public School District,FOUND_SEIZURE_SPECIFIC,Town,Freeborn County,27047,3338.0,9.8,32.7,1,8.07,15.0,STANDARD,MODERATE,Nonmetro-Large Town,LOW_RISK_LARGE,7%,False,5,53.0
2144,Chisago Lakes School District,FOUND_SEIZURE_SPECIFIC,Town,Chisago County,27025,3331.0,7.0,28.4,1,11.17,19.0,ELEVATED,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,3,41.0
477,Princeton Public School District,FOUND_SEIZURE_SPECIFIC,Town,Mille Lacs County,27095,3217.0,8.3,32.7,1,11.29,20.0,ELEVATED,HIGH,Metropolitan,LOW_RISK_LARGE,7%,False,5,74.0
832,Mahtomedi Public Schools,FOUND_SEIZURE_SPECIFIC,Rural,Washington County,27163,3194.0,5.8,23.5,1,6.82,12.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,34.0
727,Big Lake Public School District,FOUND_SEIZURE_SPECIFIC,Town,Sherburne County,27141,3157.0,7.1,27.3,1,10.27,17.0,ELEVATED,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,3,54.0
278,Orono Public School District,FOUND_SEIZURE_SPECIFIC,Rural,Hennepin County,27053,2946.0,7.5,25.0,1,7.54,13.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,56.0
6,South St. Paul Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Dakota County,27037,2917.0,7.1,25.8,1,7.53,12.0,STANDARD,LOW,Metropolitan,LOW_RISK_LARGE,7%,False,3,80.0
544,Fergus Falls Public School District,FOUND_SEIZURE_SPECIFIC,Town,Otter Tail County,27111,2901.0,7.5,30.6,1,11.3,22.0,ELEVATED,HIGH,Nonmetro-Large Town,LOW_RISK_LARGE,7%,False,4,36.0
726,Becker Public School District,FOUND_MED_POLICY_ONLY,Rural,Sherburne County,27141,2847.0,7.1,27.3,0,10.27,17.0,ELEVATED,MODERATE,Metropolitan,LOW_RISK_LARGE,7%,False,6,39.0
22,Detroit Lakes Public School Dist.,FOUND_SEIZURE_SPECIFIC,Town,Becker County,27005,2797.0,7.5,30.3,1,9.29,20.0,STANDARD,HIGH,Nonmetro-Large Town,LOW_RISK_LARGE,7%,False,4,40.0
