leaid,isd,district,county,city,enrollment,locale_code,locale,locale_cat,phone,county_disability_pct,county_cognitive_pct,county_uninsured_pct,isd_num
2703180,MN-010011,Anoka-Hennepin School District,Anoka County,ANOKA,38631,21,Suburb-Large,Suburb,(763)506-1000,28.1,13.1,7.5,11
2733840,MN-010625,Saint Paul Public Schools,Ramsey County,SAINT PAUL,32145,11,City-Large,City,(651)632-3760,27.9,13.2,7.8,625
2732390,MN-010196,ROSEMOUNT-APPLE VALLEY-EAGAN,Dakota County,ROSEMOUNT,29115,21,Suburb-Large,Suburb,(651)423-7700,25.8,11.3,7.1,196
2721240,MN-030001,Minneapolis Public School District,Hennepin County,MINNEAPOLIS,29063,11,City-Large,City,(612)668-0000,25.0,12.4,7.5,30001
2725200,MN-010279,OSSEO PUBLIC SCHOOL DISTRICT,Hennepin County,MAPLE GROVE,20776,21,Suburb-Large,Suburb,(763)391-7000,25.0,12.4,7.5,279
2733810,MN-010833,South Washington County Schools,Washington County,COTTAGE GROVE,19360,21,Suburb-Large,Suburb,(651)425-6201,23.5,10.8,5.8,833
2731800,MN-010535,ROCHESTER PUBLIC SCHOOL DISTRICT,Olmsted County,ROCHESTER,17342,12,City-Mid,City,(507)328-3000,24.9,11.4,6.7,535
2711370,MN-010728,Elk River Public School District,Sherburne County,ELK RIVER,14352,21,Suburb-Large,Suburb,(763)241-3400,27.3,13.1,7.1,728
2742160,MN-010284,WAYZATA PUBLIC SCHOOL DISTRICT,Hennepin County,PLYMOUTH,12625,13,City-Small,City,(763)745-5000,25.0,12.4,7.5,284
2717780,MN-010194,Lakeville Area Schools,Dakota County,LAKEVILLE,12021,21,Suburb-Large,Suburb,(952)232-2000,25.8,11.3,7.1,194
2722950,MN-010621,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,Ramsey County,SHOREVIEW,11632,21,Suburb-Large,Suburb,(651)621-6015,27.9,13.2,7.8,621
2711670,MN-010276,MINNETONKA PUBLIC SCHOOL DISTRICT,Hennepin County,MINNETONKA,11356,13,City-Small,City,(952)401-5000,25.0,12.4,7.5,276
2731780,MN-010281,ROBBINSDALE PUBLIC SCHOOL DISTRICT,Hennepin County,NEW HOPE,10735,21,Suburb-Large,Suburb,(763)504-8000,25.0,12.4,7.5,281
2723850,MN-010622,North St. Paul-Maplewood Oakdale,Ramsey County,NORTH SAINT PAUL,10633,21,Suburb-Large,Suburb,(651)748-7410,27.9,13.2,7.8,622
2705790,MN-010271,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Hennepin County,BLOOMINGTON,10294,13,City-Small,City,(952)681-6400,25.0,12.4,7.5,271
2733510,MN-010742,ST. CLOUD PUBLIC SCHOOL DISTRICT,Stearns County,WAITE PARK,9543,13,City-Small,City,(320)370-8000,27.6,14.4,7.9,742
2708190,MN-010112,EASTERN CARVER COUNTY PUBLIC SCHOOL,Carver County,CHASKA,9254,21,Suburb-Large,Suburb,(952)556-6100,23.3,10.6,5.8,112
2714220,MN-010272,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Hennepin County,EDEN PRAIRIE,8963,13,City-Small,City,(952)975-7011,25.0,12.4,7.5,272
2730060,MN-010719,PRIOR LAKE-SAVAGE AREA SCHOOLS,Scott County,PRIOR LAKE,8777,21,Suburb-Large,Suburb,(952)226-0000,23.7,11.6,6.6,719
2711040,MN-010709,DULUTH PUBLIC SCHOOL DISTRICT,St. Louis County,DULUTH,8757,13,City-Small,City,(218)336-8700,30.8,13.7,6.8,709
2711250,MN-010273,EDINA PUBLIC SCHOOL DISTRICT,Hennepin County,EDINA,8609,13,City-Small,City,(952)848-4000,25.0,12.4,7.5,273
2742360,MN-010624,WHITE BEAR LAKE SCHOOL DISTRICT,Ramsey County,WHITE BEAR LAKE,8549,21,Suburb-Large,Suburb,(651)407-7500,27.9,13.2,7.8,624
2738190,MN-010834,Stillwater Area Public Schools,Washington County,STILLWATER,8368,31,Town-Fringe,Town,(651)351-8340,23.5,10.8,5.8,834
2718780,MN-010077,MANKATO PUBLIC SCHOOL DISTRICT,Blue Earth County,MANKATO,8276,13,City-Small,City,(507)387-1868,28.8,15.3,7.9,77
2733000,MN-010720,SHAKOPEE PUBLIC SCHOOL DISTRICT,Scott County,SHAKOPEE,7678,21,Suburb-Large,Suburb,(952)496-5002,23.7,11.6,6.6,720
2707290,MN-010191,Burnsville-Eagan-Savage Schools,Dakota County,BURNSVILLE,7594,13,City-Small,City,(952)707-2005,25.8,11.3,7.1,191
2721420,MN-010152,Moorhead Area Public Schools,Clay County,MOORHEAD,7460,22,Suburb-Mid,Suburb,(218)284-3300,27.4,13.9,7.2,152
2732430,MN-010623,ROSEVILLE PUBLIC SCHOOL DISTRICT,Ramsey County,ROSEVILLE,7355,21,Suburb-Large,Suburb,(651)635-1600,27.9,13.2,7.8,623
2714260,MN-010270,HOPKINS PUBLIC SCHOOL DISTRICT,Hennepin County,HOPKINS,6977,13,City-Small,City,(952)988-4000,25.0,12.4,7.5,270
2708100,MN-010012,CENTENNIAL PUBLIC SCHOOL DISTRICT,Anoka County,CIRCLE PINES,6772,21,Suburb-Large,Suburb,(763)792-6000,28.1,13.1,7.5,12
2733790,MN-010885,St. Michael-Albertville Schools,Wright County,ALBERTVILLE,6696,21,Suburb-Large,Suburb,(763)497-3180,26.0,12.3,6.8,885
2711820,MN-010192,FARMINGTON PUBLIC SCHOOL DISTRICT,Dakota County,FARMINGTON,6630,21,Suburb-Large,Suburb,(651)463-5000,25.8,11.3,7.1,192
2733330,MN-010016,SPRING LAKE PARK PUBLIC SCHOOLS,Anoka County,SPRING LAKE PARK,6140,21,Suburb-Large,Suburb,(763)600-5000,28.1,13.1,7.5,16
2706090,MN-010181,BRAINERD PUBLIC SCHOOL DISTRICT,Crow Wing County,BRAINERD,6134,33,Town-Remote,Town,(218)454-6900,30.7,12.6,7.0,181
2712270,MN-010831,FOREST LAKE PUBLIC SCHOOL DISTRICT,Washington County,FOREST LAKE,5763,31,Town-Fringe,Town,(651)982-8103,23.5,10.8,5.8,831
2742270,MN-010197,West St. Paul-Mendota Heights-Eagan,Dakota County,MENDOTA HEIGHTS,5293,21,Suburb-Large,Suburb,(651)403-7002,25.8,11.3,7.1,197
2707200,MN-010877,Buffalo-Hanover-Montrose Schools,Wright County,BUFFALO,5282,31,Town-Fringe,Town,(763)682-8707,26.0,12.3,6.8,877
2703450,MN-010492,AUSTIN PUBLIC SCHOOL DISTRICT,Mower County,AUSTIN,5146,32,Town-Distant,Town,(507)460-1900,30.9,14.5,10.6,492
2707410,MN-010911,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,Isanti County,CAMBRIDGE,5092,32,Town-Distant,Town,(763)689-6188,29.0,13.9,8.0,911
2728050,MN-010761,OWATONNA PUBLIC SCHOOL DISTRICT,Steele County,OWATONNA,4995,32,Town-Distant,Town,(507)444-8600,28.2,12.9,8.2,761
2704440,MN-010031,BEMIDJI PUBLIC SCHOOL DISTRICT,Beltrami County,BEMIDJI,4812,33,Town-Remote,Town,(218)333-3100,32.7,15.7,8.2,31
2732880,MN-010047,SAUK RAPIDS-RICE PUBLIC SCHOOLS,Benton County,SAUK RAPIDS,4352,22,Suburb-Mid,Suburb,(320)253-4703,28.4,14.3,8.0,47
2733780,MN-010283,ST. LOUIS PARK PUBLIC SCHOOL DIST.,Hennepin County,SAINT LOUIS PARK,4347,13,City-Small,City,(952)928-6000,25.0,12.4,7.5,283
2733540,MN-010015,St. Francis Area Schools,Anoka County,SAINT FRANCIS,4236,31,Town-Fringe,Town,(763)753-7041,28.1,13.1,7.5,15
2742720,MN-010347,WILLMAR PUBLIC SCHOOL DISTRICT,Kandiyohi County,WILLMAR,4220,33,Town-Remote,Town,(320)231-8500,30.0,13.5,10.0,347
2721390,MN-010882,MONTICELLO PUBLIC SCHOOL DISTRICT,Wright County,MONTICELLO,4138,31,Town-Fringe,Town,(763)272-2000,26.0,12.3,6.8,882
2713530,MN-010200,HASTINGS PUBLIC SCHOOL DISTRICT,Dakota County,HASTINGS,4095,31,Town-Fringe,Town,(651)480-7001,25.8,11.3,7.1,200
2723430,MN-010721,NEW PRAGUE AREA SCHOOLS,Scott County,NEW PRAGUE,4072,32,Town-Distant,Town,(952)758-1700,23.7,11.6,6.6,721
2732820,MN-010748,SARTELL-ST. STEPHEN SCHOOL DISTRICT,Stearns County,SARTELL,4046,22,Suburb-Mid,Suburb,(320)656-3765,27.6,14.4,7.9,748
2731750,MN-010280,RICHFIELD PUBLIC SCHOOL DISTRICT,Hennepin County,RICHFIELD,4043,21,Suburb-Large,Suburb,(612)798-6000,25.0,12.4,7.5,280
2713170,MN-010318,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,Itasca County,GRAND RAPIDS,4024,41,Rural-Fringe,Rural,(218)327-5704,32.7,13.3,7.1,318
2703060,MN-010206,ALEXANDRIA PUBLIC SCHOOL DISTRICT,Douglas County,ALEXANDRIA,4021,33,Town-Remote,Town,(320)762-2141,29.6,12.3,6.9,206
2741460,MN-010110,WACONIA PUBLIC SCHOOL DISTRICT,Carver County,WACONIA,4000,31,Town-Fringe,Town,(952)442-0600,23.3,10.6,5.8,110
2744160,MN-010518,WORTHINGTON PUBLIC SCHOOL DISTRICT,Nobles County,WORTHINGTON,3914,33,Town-Remote,Town,(507)372-2172,33.2,15.6,16.5,518
2723880,MN-010659,NORTHFIELD PUBLIC SCHOOL DISTRICT,Rice County,NORTHFIELD,3875,32,Town-Distant,Town,(507)663-0629,28.1,13.8,8.7,659
2715030,MN-010199,INVER GROVE HEIGHTS SCHOOLS,Dakota County,INVER GROVE HEIGHTS,3510,21,Suburb-Large,Suburb,(651)306-7800,25.8,11.3,7.1,199
2709510,MN-010013,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,Anoka County,COLUMBIA HEIGHTS,3420,21,Suburb-Large,Suburb,(763)528-4500,28.1,13.1,7.5,13
2702970,MN-010241,ALBERT LEA PUBLIC SCHOOL DISTRICT,Freeborn County,ALBERT LEA,3338,33,Town-Remote,Town,(507)379-4800,32.7,14.2,9.8,241
2700017,MN-012144,CHISAGO LAKES SCHOOL DISTRICT,Chisago County,CHISAGO CITY,3331,32,Town-Distant,Town,(651)213-2096,28.4,12.7,7.0,2144
2730030,MN-010477,PRINCETON PUBLIC SCHOOL DISTRICT,Mille Lacs County,PRINCETON,3217,32,Town-Distant,Town,(763)389-2422,32.7,14.9,8.3,477
2718750,MN-010832,MAHTOMEDI PUBLIC SCHOOL DISTRICT,Washington County,MAHTOMEDI,3194,41,Rural-Fringe,Rural,(651)407-2000,23.5,10.8,5.8,832
2705460,MN-010727,BIG LAKE PUBLIC SCHOOL DISTRICT,Sherburne County,BIG LAKE,3157,31,Town-Fringe,Town,(763)262-2536,27.3,13.1,7.1,727
2711760,MN-010656,FARIBAULT PUBLIC SCHOOL DISTRICT,Rice County,FARIBAULT,3107,32,Town-Distant,Town,(507)333-6016,28.1,13.8,8.7,656
2725080,MN-010278,ORONO PUBLIC SCHOOL DISTRICT,Hennepin County,LONG LAKE,2946,41,Rural-Fringe,Rural,(952)449-8300,25.0,12.4,7.5,278
2733270,MN-030006,South St. Paul Public School Dist,Dakota County,SOUTH SAINT PAUL,2917,21,Suburb-Large,Suburb,(651)457-9400,25.8,11.3,7.1,6
2711880,MN-010544,FERGUS FALLS PUBLIC SCHOOL DISTRICT,Otter Tail County,FERGUS FALLS,2901,33,Town-Remote,Town,(218)998-0544,30.6,12.8,7.5,544
2703870,MN-010726,BECKER PUBLIC SCHOOL DISTRICT,Sherburne County,BECKER,2847,42,Rural-Distant,Rural,(763)261-4502,27.3,13.1,7.1,726
2710230,MN-010022,DETROIT LAKES PUBLIC SCHOOL DIST.,Becker County,DETROIT LAKES,2797,33,Town-Remote,Town,(218)847-9271,30.3,13.5,7.5,22
2714970,MN-010423,HUTCHINSON PUBLIC SCHOOL DISTRICT,McLeod County,HUTCHINSON,2783,32,Town-Distant,Town,(320)587-2860,29.3,13.5,8.3,423
2723820,MN-010138,North Branch Area Public Schools,Chisago County,NORTH BRANCH,2744,41,Rural-Fringe,Rural,(651)674-1000,28.4,12.7,7.0,138
2718940,MN-010413,MARSHALL PUBLIC SCHOOL DISTRICT,Lyon County,MARSHALL,2705,33,Town-Remote,Town,(507)537-6924,29.1,13.6,8.5,413
2712420,MN-010014,FRIDLEY PUBLIC SCHOOL DISTRICT,Anoka County,FRIDLEY,2633,21,Suburb-Large,Suburb,(763)502-5001,28.1,13.1,7.5,14
2709420,MN-010094,CLOQUET PUBLIC SCHOOL DISTRICT,Carlton County,CLOQUET,2598,31,Town-Fringe,Town,(218)879-6721,31.0,13.9,8.0,94
2710170,MN-010879,DELANO PUBLIC SCHOOL DISTRICT,Wright County,DELANO,2464,31,Town-Fringe,Town,(763)972-3365,26.0,12.3,6.8,879
2744070,MN-010861,WINONA AREA PUBLIC SCHOOL DISTRICT,Winona County,WINONA,2433,32,Town-Distant,Town,(507)494-0861,29.1,14.1,7.3,861
2722920,MN-010277,WESTONKA PUBLIC SCHOOL DISTRICT,Hennepin County,MINNETRISTA,2428,41,Rural-Fringe,Rural,(952)491-8001,25.0,12.4,7.5,277
2709440,MN-010750,ROCORI PUBLIC SCHOOL DISTRICT,Stearns County,COLD SPRING,2414,41,Rural-Fringe,Rural,(320)685-4901,27.6,14.4,7.9,750
2718240,MN-010482,Little Falls Community Schools,Morrison County,LITTLE FALLS,2376,32,Town-Distant,Town,(320)632-2002,30.1,13.7,7.7,482
2700466,MN-012909,Rock Ridge Public Schools,St. Louis County,VIRGINIA,2331,41,Rural-Fringe,Rural,(218)735-3500,30.8,13.7,6.8,2909
2707350,MN-010531,BYRON PUBLIC SCHOOL DISTRICT,Olmsted County,BYRON,2331,31,Town-Fringe,Town,(507)775-2383,24.9,11.4,6.7,531
2730480,MN-010256,Red Wing Public School District,Goodhue County,RED WING,2231,41,Rural-Fringe,Rural,(651)385-4500,28.6,12.9,7.7,256
2713980,MN-010701,HIBBING PUBLIC SCHOOL DISTRICT,St. Louis County,HIBBING,2197,33,Town-Remote,Town,(218)208-0848,30.8,13.7,6.8,701
2716980,MN-010204,KASSON-MANTORVILLE SCHOOL DISTRICT,Dodge County,KASSON,2161,31,Town-Fringe,Town,(507)634-1100,26.1,12.4,7.1,204
2723490,MN-010088,NEW ULM PUBLIC SCHOOL DISTRICT,Brown County,NEW ULM,2135,32,Town-Distant,Town,(507)233-6180,30.2,13.4,8.1,88
2733870,MN-010508,ST. PETER PUBLIC SCHOOL DISTRICT,Nicollet County,SAINT PETER,2105,31,Town-Fringe,Town,(507)934-5703,28.3,13.4,7.3,508
