county_name,fips_code,locationid,ems_responses_2023,median_dispatch_to_scene_min,avg_dispatch_to_scene_min,p90_dispatch_to_scene_min,ems_response_risk_tier,seizure_emergency_risk,data_source,metric,scope,rucc_2023_code,rucc_2023_description,rural_urban_category
Aitkin,27001,27001,1501,12,13.86,26,HIGH,VERY HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,8,Nonmetro - Small town or rural adjacent,Rural
Anoka,27003,27003,28938,8,8.98,15,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,1,Metro - Large (1M+ pop),Metropolitan
Becker,27005,27005,3296,7,9.29,20,STANDARD,HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,6,Nonmetro - Large town (2.5K-20K) adjacent,Nonmetro-Large Town
Beltrami,27007,27007,5587,7,8.89,16,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,7,Nonmetro - Large town not adjacent,Nonmetro-Large Town
Benton,27009,27009,2060,9,10.82,20,ELEVATED,HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,3,Metro - Small (<250K pop),Metropolitan
Big Stone,27011,27011,356,11,13.27,22,HIGH,HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,9,Nonmetro - Small town or rural not adjacent,Rural
Blue Earth,27013,27013,5970,7,8.53,15,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,3,Metro - Small (<250K pop),Metropolitan
Brown,27015,27015,1442,6,8.53,16,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,6,Nonmetro - Large town (2.5K-20K) adjacent,Nonmetro-Large Town
Carlton,27017,27017,1934,8,9.33,18,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,2,Metro - Medium (250K-1M pop),Metropolitan
Carver,27019,27019,6682,8,8.35,14,STANDARD,LOW,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,1,Metro - Large (1M+ pop),Metropolitan
Cass,27021,27021,4208,12,13.17,24,HIGH,HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,9,Nonmetro - Small town or rural not adjacent,Rural
Chippewa,27023,27023,1110,8,9.76,17,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,7,Nonmetro - Large town not adjacent,Nonmetro-Large Town
Chisago,27025,27025,4660,10,11.17,19,ELEVATED,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,1,Metro - Large (1M+ pop),Metropolitan
Clay,27027,27027,5371,7,8.87,15,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,3,Metro - Small (<250K pop),Metropolitan
Clearwater,27029,27029,737,9,11.2,23,ELEVATED,HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,8,Nonmetro - Small town or rural adjacent,Rural
Cook,27031,27031,332,15,17.4,32,CRITICAL,EXTREME,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,9,Nonmetro - Small town or rural not adjacent,Rural
Cottonwood,27033,27033,1032,8,9.29,14,STANDARD,LOW,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,9,Nonmetro - Small town or rural not adjacent,Rural
Crow Wing,27035,27035,6724,9,10.5,19,ELEVATED,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,4,Nonmetro - Urban adjacent to large metro,Nonmetro-Urban
Dakota,27037,27037,38364,7,7.53,12,STANDARD,LOW,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,1,Metro - Large (1M+ pop),Metropolitan
Dodge,27039,27039,1506,11,11.3,18,ELEVATED,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,3,Metro - Small (<250K pop),Metropolitan
Douglas,27041,27041,2928,7,9.42,18,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,6,Nonmetro - Large town (2.5K-20K) adjacent,Nonmetro-Large Town
Faribault,27043,27043,1434,8,9.88,17,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,8,Nonmetro - Small town or rural adjacent,Rural
Fillmore,27045,27045,1948,9,11.38,18,ELEVATED,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,3,Metro - Small (<250K pop),Metropolitan
Freeborn,27047,27047,3185,6,8.07,15,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,7,Nonmetro - Large town not adjacent,Nonmetro-Large Town
Goodhue,27049,27049,4455,7,8.79,16,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,6,Nonmetro - Large town (2.5K-20K) adjacent,Nonmetro-Large Town
Grant,27051,27051,394,12,13.67,25,HIGH,VERY HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,9,Nonmetro - Small town or rural not adjacent,Rural
Hennepin,27053,27053,153712,7,7.54,13,STANDARD,LOW,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,1,Metro - Large (1M+ pop),Metropolitan
Houston,27055,27055,1156,10,11.41,19,ELEVATED,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,3,Metro - Small (<250K pop),Metropolitan
Hubbard,27057,27057,1926,9,11.53,21,ELEVATED,HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,9,Nonmetro - Small town or rural not adjacent,Rural
Isanti,27059,27059,3203,10,11.38,20,ELEVATED,HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,1,Metro - Large (1M+ pop),Metropolitan
Itasca,27061,27061,4603,9,11.9,22,ELEVATED,HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,6,Nonmetro - Large town (2.5K-20K) adjacent,Nonmetro-Large Town
Jackson,27063,27063,620,8,9.48,16,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,9,Nonmetro - Small town or rural not adjacent,Rural
Kanabec,27065,27065,1588,8,9.79,18,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,8,Nonmetro - Small town or rural adjacent,Rural
Kandiyohi,27067,27067,3820,7,8.57,15,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,4,Nonmetro - Urban adjacent to large metro,Nonmetro-Urban
Kittson,27069,27069,319,13,15.55,28.2,CRITICAL,VERY HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,9,Nonmetro - Small town or rural not adjacent,Rural
Koochiching,27071,27071,1282,7,13.88,29,HIGH,VERY HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,7,Nonmetro - Large town not adjacent,Nonmetro-Large Town
Lac qui Parle,27073,27073,421,8,12.06,21,HIGH,HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,9,Nonmetro - Small town or rural not adjacent,Rural
Lake,27075,27075,1073,8,12.75,30,HIGH,EXTREME,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,8,Nonmetro - Small town or rural adjacent,Rural
Lake of the Woods,27077,27077,301,15,20.26,37,CRITICAL,EXTREME,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,9,Nonmetro - Small town or rural not adjacent,Rural
Le Sueur,27079,27079,1695,8,9.33,16,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,1,Metro - Large (1M+ pop),Metropolitan
Lincoln,27081,27081,317,10,11.35,19,ELEVATED,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,9,Nonmetro - Small town or rural not adjacent,Rural
Lyon,27083,27083,1933,6,7.57,14,STANDARD,LOW,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,7,Nonmetro - Large town not adjacent,Nonmetro-Large Town
Mahnomen,27085,27085,923,8,10.97,21,ELEVATED,HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,4,Nonmetro - Urban adjacent to large metro,Nonmetro-Urban
Marshall,27087,27087,537,11,15.05,29,CRITICAL,VERY HIGH,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,8,Nonmetro - Small town or rural adjacent,Rural
Martin,27089,27089,1953,6,8.92,16,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,8,Nonmetro - Small town or rural adjacent,Rural
McLeod,27091,27091,2877,6,8.19,16,STANDARD,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,6,Nonmetro - Large town (2.5K-20K) adjacent,Nonmetro-Large Town
Meeker,27093,27093,1585,9,11.07,19,ELEVATED,MODERATE,MN OEMS 2023 EMS System Report Table 6,Unit Notified by Dispatch to Ambulance On Scene,911 Ground Ambulance Emergency Calls CY2023,6,Nonmetro - Large town (2.5K-20K) adjacent,Nonmetro-Large Town
