group,deaths,population,crude_rate_per_100k,ci_95,codes_applied,query_criteria
< 1 year,10,"455,287",2.2,1.1 - 4.0,True,Query Criteria: MCD - ICD-10 Codes: G40.0 (Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset); G40.1 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures); G40.2 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures); G40.3 (Generalized idiopathic epilepsy and epileptic syndromes); G40.4 (Other generalized epileps
1-4 years,16,"1,919,457",0.8,0.5 - 1.4,,
5-14 years,35,"5,150,316",0.7,0.5 - 0.9,,
15-24 years,63,"5,124,121",1.2,0.9 - 1.6,,
25-34 years,86,"5,259,487",1.6,1.3 - 2.0,,
35-44 years,111,"5,287,892",2.1,1.7 - 2.5,,
45-54 years,121,"4,678,654",2.6,2.1 - 3.0,,
55-64 years,231,"5,195,945",4.4,3.9 - 5.0,,
65-74 years,288,"3,976,593",7.2,6.4 - 8.1,,
75-84 years,245,"1,981,057",12.4,10.8 - 13.9,,
85+ years,198,"834,984",23.7,20.4 - 27.0,,
Total,"1,404","39,863,793",3.5,3.3 - 3.7,,
