group,deaths,population,crude_rate_per_100k,ci_95,codes_applied,query_criteria
"Aitkin County, MN (27001)",Suppressed,"112,086",Suppressed,,True,Query Criteria: MCD - ICD-10 Codes: G40.0 (Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset); G40.1 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures); G40.2 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures); G40.3 (Generalized idiopathic epilepsy and epileptic syndromes); G40.4 (Other generalized epileps
"Anoka County, MN (27003)",80,"2,555,818",3.1,2.5 - 3.9,,
"Becker County, MN (27005)",Suppressed,"244,567",Suppressed,,,
"Beltrami County, MN (27007)",12,"328,136",3.7,1.9 - 6.4,,
"Benton County, MN (27009)",Suppressed,"288,795",Suppressed,,,
"Big Stone County, MN (27011)",Suppressed,"35,364",Suppressed,,,
"Blue Earth County, MN (27013)",19,"482,938",3.9,2.4 - 6.1,,
"Brown County, MN (27015)",Suppressed,"177,845",Suppressed,,,
"Carlton County, MN (27017)",Suppressed,"254,164",Suppressed,,,
"Carver County, MN (27019)",19,"757,550",2.5,1.5 - 3.9,,
"Cass County, MN (27021)",Suppressed,"214,027",Suppressed,,,
"Chippewa County, MN (27023)",Suppressed,"84,594",Suppressed,,,
"Chisago County, MN (27025)",16,"402,392",4.0,2.3 - 6.5,,
"Clay County, MN (27027)",19,"457,476",4.2,2.5 - 6.5,,
"Clearwater County, MN (27029)",Suppressed,"61,144",Suppressed,,,
"Cottonwood County, MN (27033)",Suppressed,"79,297",Suppressed,,,
"Crow Wing County, MN (27035)",11,"467,752",2.4,1.2 - 4.2,,
"Dakota County, MN (27037)",107,"3,072,226",3.5,2.8 - 4.1,,
"Dodge County, MN (27039)",10,"146,989",6.8,3.3 - 12.5,,
"Douglas County, MN (27041)",Suppressed,"273,225",Suppressed,,,
"Faribault County, MN (27043)",11,"96,606",11.4,5.7 - 20.4,,
"Fillmore County, MN (27045)",Suppressed,"148,969",Suppressed,,,
"Freeborn County, MN (27047)",Suppressed,"213,385",Suppressed,,,
"Goodhue County, MN (27049)",Suppressed,"331,059",Suppressed,,,
"Grant County, MN (27051)",Suppressed,"42,556",Suppressed,,,
"Hennepin County, MN (27053)",334,"8,853,263",3.8,3.4 - 4.2,,
"Houston County, MN (27055)",Suppressed,"130,322",Suppressed,,,
"Hubbard County, MN (27057)",Suppressed,"152,463",Suppressed,,,
"Isanti County, MN (27059)",Suppressed,"293,493",Suppressed,,,
"Itasca County, MN (27061)",12,"316,588",3.8,2.0 - 6.6,,
"Kanabec County, MN (27065)",Suppressed,"114,792",Suppressed,,,
"Kandiyohi County, MN (27067)",19,"305,277",6.2,3.7 - 9.7,,
"Kittson County, MN (27069)",Suppressed,"29,017",Suppressed,,,
"Koochiching County, MN (27071)",Suppressed,"83,858",Suppressed,,,
"Lac qui Parle County, MN (27073)",Suppressed,"46,447",Suppressed,,,
"Lake County, MN (27075)",Suppressed,"75,416",Suppressed,,,
"Lake of the Woods County, MN (27077)",Suppressed,"26,521",Suppressed,,,
"Le Sueur County, MN (27079)",Suppressed,"202,829",Suppressed,,,
"Lincoln County, MN (27081)",Suppressed,"39,112",Suppressed,,,
"Lyon County, MN (27083)",10,"177,871",5.6,2.7 - 10.3,,
"McLeod County, MN (27085)",Suppressed,"254,490",Suppressed,,,
"Mahnomen County, MN (27087)",Suppressed,"37,837",Suppressed,,,
"Marshall County, MN (27089)",Suppressed,"63,477",Suppressed,,,
"Martin County, MN (27091)",Suppressed,"137,735",Suppressed,,,
"Meeker County, MN (27093)",Suppressed,"163,557",Suppressed,,,
"Mille Lacs County, MN (27095)",Suppressed,"187,713",Suppressed,,,
"Morrison County, MN (27097)",10,"236,750",4.2,2.0 - 7.8,,
"Mower County, MN (27099)",16,"281,479",5.7,3.2 - 9.2,,
"Murray County, MN (27101)",Suppressed,"56,922",Suppressed,,,
"Nicollet County, MN (27103)",Suppressed,"240,484",Suppressed,,,
"Nobles County, MN (27105)",Suppressed,"152,587",Suppressed,,,
