cause,age_scope,place_of_death,deaths,total_deaths,query_criteria
underlying cause (G40-G41),ages 1-44,Medical Facility - Inpatient,31,152,"Query Criteria: States: Minnesota (27) Ten-Year Age Groups: 1-4 years; 5-14 years; 15-24 years; 25-34 years; 35-44 years UCD - ICD-10 Codes: G40.0 (Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset); G40.1 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures); G40.2 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures); G40.3 (Generalized idiopathic epilepsy and epileptic syndromes); G40.4 (Other generalized epilepsy and epileptic syndromes); G40.5 (Special epileptic syndromes); G40.6 (Grand mal seizures, unspecified (with or without petit mal)); G40.7 (Petit mal, unspecified, without grand mal seizures); G40.8 (Other epilepsy); G40.9 (Epilepsy, unspecified); G41.0 (Grand mal status epilepticus); G41.1 (Petit mal status epilepticus); G41.2 (Complex partial status epilepticus); G41.8 (Other status epilepticus); G41.9 (Status epilepticus, unspecified) Group By: Place of Death Show Totals: True Show Zero Values: False Show Suppressed: True Calculate Rates Per: 100,000 Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
underlying cause (G40-G41),ages 1-44,Medical Facility - Outpatient or ER,11,152,"Query Criteria: States: Minnesota (27) Ten-Year Age Groups: 1-4 years; 5-14 years; 15-24 years; 25-34 years; 35-44 years UCD - ICD-10 Codes: G40.0 (Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset); G40.1 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures); G40.2 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures); G40.3 (Generalized idiopathic epilepsy and epileptic syndromes); G40.4 (Other generalized epilepsy and epileptic syndromes); G40.5 (Special epileptic syndromes); G40.6 (Grand mal seizures, unspecified (with or without petit mal)); G40.7 (Petit mal, unspecified, without grand mal seizures); G40.8 (Other epilepsy); G40.9 (Epilepsy, unspecified); G41.0 (Grand mal status epilepticus); G41.1 (Petit mal status epilepticus); G41.2 (Complex partial status epilepticus); G41.8 (Other status epilepticus); G41.9 (Status epilepticus, unspecified) Group By: Place of Death Show Totals: True Show Zero Values: False Show Suppressed: True Calculate Rates Per: 100,000 Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
underlying cause (G40-G41),ages 1-44,Decedent's home,98,152,"Query Criteria: States: Minnesota (27) Ten-Year Age Groups: 1-4 years; 5-14 years; 15-24 years; 25-34 years; 35-44 years UCD - ICD-10 Codes: G40.0 (Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset); G40.1 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures); G40.2 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures); G40.3 (Generalized idiopathic epilepsy and epileptic syndromes); G40.4 (Other generalized epilepsy and epileptic syndromes); G40.5 (Special epileptic syndromes); G40.6 (Grand mal seizures, unspecified (with or without petit mal)); G40.7 (Petit mal, unspecified, without grand mal seizures); G40.8 (Other epilepsy); G40.9 (Epilepsy, unspecified); G41.0 (Grand mal status epilepticus); G41.1 (Petit mal status epilepticus); G41.2 (Complex partial status epilepticus); G41.8 (Other status epilepticus); G41.9 (Status epilepticus, unspecified) Group By: Place of Death Show Totals: True Show Zero Values: False Show Suppressed: True Calculate Rates Per: 100,000 Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
underlying cause (G40-G41),ages 1-44,Nursing home/long term care,Suppressed,152,"Query Criteria: States: Minnesota (27) Ten-Year Age Groups: 1-4 years; 5-14 years; 15-24 years; 25-34 years; 35-44 years UCD - ICD-10 Codes: G40.0 (Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset); G40.1 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures); G40.2 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures); G40.3 (Generalized idiopathic epilepsy and epileptic syndromes); G40.4 (Other generalized epilepsy and epileptic syndromes); G40.5 (Special epileptic syndromes); G40.6 (Grand mal seizures, unspecified (with or without petit mal)); G40.7 (Petit mal, unspecified, without grand mal seizures); G40.8 (Other epilepsy); G40.9 (Epilepsy, unspecified); G41.0 (Grand mal status epilepticus); G41.1 (Petit mal status epilepticus); G41.2 (Complex partial status epilepticus); G41.8 (Other status epilepticus); G41.9 (Status epilepticus, unspecified) Group By: Place of Death Show Totals: True Show Zero Values: False Show Suppressed: True Calculate Rates Per: 100,000 Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
underlying cause (G40-G41),ages 1-44,Other,Suppressed,152,"Query Criteria: States: Minnesota (27) Ten-Year Age Groups: 1-4 years; 5-14 years; 15-24 years; 25-34 years; 35-44 years UCD - ICD-10 Codes: G40.0 (Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset); G40.1 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures); G40.2 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures); G40.3 (Generalized idiopathic epilepsy and epileptic syndromes); G40.4 (Other generalized epilepsy and epileptic syndromes); G40.5 (Special epileptic syndromes); G40.6 (Grand mal seizures, unspecified (with or without petit mal)); G40.7 (Petit mal, unspecified, without grand mal seizures); G40.8 (Other epilepsy); G40.9 (Epilepsy, unspecified); G41.0 (Grand mal status epilepticus); G41.1 (Petit mal status epilepticus); G41.2 (Complex partial status epilepticus); G41.8 (Other status epilepticus); G41.9 (Status epilepticus, unspecified) Group By: Place of Death Show Totals: True Show Zero Values: False Show Suppressed: True Calculate Rates Per: 100,000 Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
underlying cause (G40-G41),ages 1-44,Total,152,152,"Query Criteria: States: Minnesota (27) Ten-Year Age Groups: 1-4 years; 5-14 years; 15-24 years; 25-34 years; 35-44 years UCD - ICD-10 Codes: G40.0 (Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset); G40.1 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures); G40.2 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures); G40.3 (Generalized idiopathic epilepsy and epileptic syndromes); G40.4 (Other generalized epilepsy and epileptic syndromes); G40.5 (Special epileptic syndromes); G40.6 (Grand mal seizures, unspecified (with or without petit mal)); G40.7 (Petit mal, unspecified, without grand mal seizures); G40.8 (Other epilepsy); G40.9 (Epilepsy, unspecified); G41.0 (Grand mal status epilepticus); G41.1 (Petit mal status epilepticus); G41.2 (Complex partial status epilepticus); G41.8 (Other status epilepticus); G41.9 (Status epilepticus, unspecified) Group By: Place of Death Show Totals: True Show Zero Values: False Show Suppressed: True Calculate Rates Per: 100,000 Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
multiple cause (G40-G41),all ages,Medical Facility - Inpatient,491,1404,"Query Criteria: MCD - ICD-10 Codes: G40.0 (Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset); G40.1 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures); G40.2 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures); G40.3 (Generalized idiopathic epilepsy and epileptic syndromes); G40.4 (Other generalized epilepsy and epileptic syndromes); G40.5 (Special epileptic syndromes); G40.6 (Grand mal seizures, unspecified (with or without petit mal)); G40.7 (Petit mal, unspecified, without grand mal seizures); G40.8 (Other epilepsy); G40.9 (Epilepsy, unspecified); G41.0 (Grand mal status epilepticus); G41.1 (Petit mal status epilepticus); G41.2 (Complex partial status epilepticus); G41.8 (Other status epilepticus); G41.9 (Status epilepticus, unspecified) States: Minnesota (27) Group By: Place of Death Show Totals: True Show Zero Values: False Show Suppressed: True Calculate Rates Per: 100,000 Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
multiple cause (G40-G41),all ages,Medical Facility - Outpatient or ER,47,1404,"Query Criteria: MCD - ICD-10 Codes: G40.0 (Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset); G40.1 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures); G40.2 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures); G40.3 (Generalized idiopathic epilepsy and epileptic syndromes); G40.4 (Other generalized epilepsy and epileptic syndromes); G40.5 (Special epileptic syndromes); G40.6 (Grand mal seizures, unspecified (with or without petit mal)); G40.7 (Petit mal, unspecified, without grand mal seizures); G40.8 (Other epilepsy); G40.9 (Epilepsy, unspecified); G41.0 (Grand mal status epilepticus); G41.1 (Petit mal status epilepticus); G41.2 (Complex partial status epilepticus); G41.8 (Other status epilepticus); G41.9 (Status epilepticus, unspecified) States: Minnesota (27) Group By: Place of Death Show Totals: True Show Zero Values: False Show Suppressed: True Calculate Rates Per: 100,000 Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
multiple cause (G40-G41),all ages,Medical Facility - Dead on Arrival,Suppressed,1404,"Query Criteria: MCD - ICD-10 Codes: G40.0 (Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset); G40.1 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures); G40.2 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures); G40.3 (Generalized idiopathic epilepsy and epileptic syndromes); G40.4 (Other generalized epilepsy and epileptic syndromes); G40.5 (Special epileptic syndromes); G40.6 (Grand mal seizures, unspecified (with or without petit mal)); G40.7 (Petit mal, unspecified, without grand mal seizures); G40.8 (Other epilepsy); G40.9 (Epilepsy, unspecified); G41.0 (Grand mal status epilepticus); G41.1 (Petit mal status epilepticus); G41.2 (Complex partial status epilepticus); G41.8 (Other status epilepticus); G41.9 (Status epilepticus, unspecified) States: Minnesota (27) Group By: Place of Death Show Totals: True Show Zero Values: False Show Suppressed: True Calculate Rates Per: 100,000 Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
multiple cause (G40-G41),all ages,Decedent's home,458,1404,"Query Criteria: MCD - ICD-10 Codes: G40.0 (Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset); G40.1 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures); G40.2 (Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures); G40.3 (Generalized idiopathic epilepsy and epileptic syndromes); G40.4 (Other generalized epilepsy and epileptic syndromes); G40.5 (Special epileptic syndromes); G40.6 (Grand mal seizures, unspecified (with or without petit mal)); G40.7 (Petit mal, unspecified, without grand mal seizures); G40.8 (Other epilepsy); G40.9 (Epilepsy, unspecified); G41.0 (Grand mal status epilepticus); G41.1 (Petit mal status epilepticus); G41.2 (Complex partial status epilepticus); G41.8 (Other status epilepticus); G41.9 (Status epilepticus, unspecified) States: Minnesota (27) Group By: Place of Death Show Totals: True Show Zero Values: False Show Suppressed: True Calculate Rates Per: 100,000 Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
