npi,last_name,first_name,credential,city,state,zip5,lat,lon,is_neurology,is_child_neurology,is_epilepsy
1275594004,ACHENBACH,JANE,MD,CAMBRIDGE,MN,55008,45.57271,-93.27004,True,False,False
1588928543,CARLSON,ERIN,MD,STILLWATER,MN,55082,45.07279,-92.84039,True,False,False
1407101165,CHANDRABALAN,AMEE,D.O.,LAKE ELMO,MN,55042,44.99196,-92.89876,True,False,False
1215964499,CORRY,JESSE,MD,BLOOMINGTON,MN,55435,44.87352,-93.33471,True,False,False
1467561464,FEYMA,TIMOTHY,MD,BLOOMINGTON,MN,55435,44.87352,-93.33471,False,True,False
1386894723,GOENKA,NAILA,MD,OWATONNA,MN,55060,44.05901,-93.22289,True,False,False
1205883964,KONING,DONNA,M.D.,STILLWATER,MN,55082,45.07279,-92.84039,True,False,False
1407048416,MCCABE,MICHAEL,MD,MINNEAPOLIS,MN,55455,44.97358,-93.23316,True,False,False
1730264037,MOORE,JAMES,MD,FARIBAULT,MN,55021,44.29978,-93.27718,True,False,False
1821064650,RAABE,WINFRIED,MD,STILLWATER,MN,55082,45.07279,-92.84039,True,False,False
1003307075,SEVEN,NATHAN,MD,ROCHESTER,MN,55905,44.05595,-92.52583,True,False,False
1679553226,STOKES,PATRICK,MD,STILLWATER,MN,55082,45.07279,-92.84039,True,False,False
1245725308,SYKORA,CORY,,LAKE ELMO,MN,55042,44.99196,-92.89876,True,False,False
1497736045,TODOROW,PLAMEN,MD,BLAINE,MN,55434,45.16809,-93.2505,True,False,False
1285049213,AFFAN,MUHAMMAD,,SAINT LOUIS PARK,MN,55426,44.95532,-93.38088,True,False,False
1154587863,AGARWAL,NITIN,M.B.B.S,SAINT PAUL,MN,55102,44.93189,-93.12161,False,True,False
1427210673,AGGARWAL,HARSH,M.D.,MAPLEWOOD,MN,55109,45.01462,-93.02611,True,False,False
1730506288,AHRENS,STEPHANIE,DO,ROSEVILLE,MN,55113,45.01301,-93.15555,False,True,False
1134365604,ARKILO,DIMITRIOS,M.D.,SAINT PAUL,MN,55102,44.93189,-93.12161,False,True,False
1588807143,ASAITHAMBI,GANESH,M.D.,SAINT PAUL,MN,55102,44.93189,-93.12161,True,False,False
1023227162,ATKINSON,PAUL,M.D.,ROSEVILLE,MN,55113,45.01301,-93.15555,True,False,False
1689849960,BAJWA,JAWAD,,MAPLEWOOD,MN,55109,45.01462,-93.02611,True,False,False
1376500389,BOARDMAN,PETER,M.D.,ST LOUIS PARK,MN,55426,44.95532,-93.38088,True,False,False
1982848412,BROGAN,MICHAEL,,ST. PAUL,MN,55101,44.9513,-93.09023,True,False,False
