molecule,year,quarter,prescriptions,total_reimbursed_usd,ndc_rows,suppressed_rows
brivaracetam,2019,1,196,252284.85,11,6
brivaracetam,2019,2,224,291520.81,10,5
brivaracetam,2019,3,202,263722.06,12,7
brivaracetam,2019,4,241,306042.29,11,6
brivaracetam,2020,1,359,478039.16,12,4
brivaracetam,2020,2,327,439137.41,13,4
brivaracetam,2020,3,343,483876.66,12,5
brivaracetam,2020,4,331,474567.25,12,5
brivaracetam,2021,1,426,595840.0,13,5
brivaracetam,2021,2,418,581965.27,14,6
brivaracetam,2021,3,422,583543.71,14,6
brivaracetam,2021,4,392,544416.71,13,5
brivaracetam,2022,1,525,766098.73,13,3
brivaracetam,2022,2,498,728445.22,12,2
brivaracetam,2022,3,575,818416.74,13,3
brivaracetam,2022,4,539,764288.31,14,4
brivaracetam,2023,1,647,976560.35,13,3
brivaracetam,2023,2,618,936642.63,12,2
brivaracetam,2023,3,642,958406.79,15,5
brivaracetam,2023,4,639,972277.59,15,5
brivaracetam,2024,1,696,1090162.54,16,6
brivaracetam,2024,2,473,789491.61,7,1
brivaracetam,2024,3,758,1157939.72,15,5
brivaracetam,2024,4,619,933555.51,15,5
brivaracetam,2025,1,1056,1646937.84,16,6
brivaracetam,2025,2,812,1239127.89,16,6
brivaracetam,2025,3,881,1383746.43,18,8
brivaracetam,2025,4,840,1342167.03,15,5
brivaracetam,2026,1,793,1226807.86,34,23
cannabidiol,2019,1,59,90539.37,3,1
cannabidiol,2019,2,100,188651.96,2,0
cannabidiol,2019,3,146,284508.76,2,0
cannabidiol,2019,4,189,357801.18,2,0
cannabidiol,2020,1,260,552969.26,2,0
cannabidiol,2020,2,221,504389.25,2,0
cannabidiol,2020,3,231,526034.93,2,0
cannabidiol,2020,4,212,503382.23,2,0
cannabidiol,2021,1,294,747150.83,2,0
cannabidiol,2021,2,279,790263.27,2,0
cannabidiol,2021,3,306,872186.51,2,0
cannabidiol,2021,4,274,753987.21,4,0
cannabidiol,2022,1,327,932960.86,4,0
cannabidiol,2022,2,318,891877.88,4,0
cannabidiol,2022,3,319,908970.41,4,0
cannabidiol,2022,4,308,893093.37,4,0
cannabidiol,2023,1,380,1115594.83,4,0
cannabidiol,2023,2,349,1105917.05,4,0
cannabidiol,2023,3,366,1209614.32,4,0
cannabidiol,2023,4,326,1050486.81,4,0
cannabidiol,2024,1,378,1253960.7,4,0
cannabidiol,2024,2,113,472417.43,2,0
cannabidiol,2024,3,367,1282211.82,4,0
cannabidiol,2024,4,305,1105092.8,4,0
cannabidiol,2025,1,591,2152301.57,4,0
cannabidiol,2025,2,439,1637114.07,5,1
cannabidiol,2025,3,519,1945393.98,5,1
cannabidiol,2025,4,504,1941812.07,4,0
cannabidiol,2026,1,522,1914607.89,4,0
carbamazepine,2019,1,2927,270047.9,83,27
carbamazepine,2019,2,3126,302795.59,81,23
