molecule,year,prescriptions,total_reimbursed_usd,suppressed_rows
brivaracetam,2019,863,1113570.01,24
brivaracetam,2020,1360,1875620.48,18
brivaracetam,2021,1658,2305765.69,22
brivaracetam,2022,2137,3077249.0,12
brivaracetam,2023,2546,3843887.36,15
brivaracetam,2024,2546,3971149.38,17
brivaracetam,2025,3589,5611979.19,25
brivaracetam,2026,793,1226807.86,23
cannabidiol,2019,494,921501.27,1
cannabidiol,2020,924,2086775.67,0
cannabidiol,2021,1153,3163587.82,0
cannabidiol,2022,1272,3626902.52,0
cannabidiol,2023,1421,4481613.01,0
cannabidiol,2024,1163,4113682.75,0
cannabidiol,2025,2053,7676621.69,2
cannabidiol,2026,522,1914607.89,0
carbamazepine,2019,11909,1068613.35,98
carbamazepine,2020,11895,1131131.19,108
carbamazepine,2021,10502,1000337.54,155
carbamazepine,2022,10314,957316.95,172
carbamazepine,2023,9700,892613.72,187
carbamazepine,2024,7194,548113.7,180
carbamazepine,2025,7585,518553.71,200
carbamazepine,2026,1474,93539.05,54
cenobamate,2020,0,0.0,5
cenobamate,2021,41,49455.27,35
cenobamate,2022,181,219930.49,36
cenobamate,2023,610,762845.84,32
cenobamate,2024,890,1118747.75,26
cenobamate,2025,1353,1760800.52,33
cenobamate,2026,362,460452.84,7
clobazam,2019,2400,838351.45,90
clobazam,2020,2747,605736.0,109
clobazam,2021,3208,589767.82,98
clobazam,2022,4100,566793.51,70
clobazam,2023,4881,529730.76,46
clobazam,2024,4995,444261.08,44
clobazam,2025,7213,721773.07,46
clobazam,2026,1893,166624.05,10
eslicarbazepine,2019,0,0.0,25
eslicarbazepine,2020,27,43466.48,22
eslicarbazepine,2021,113,182897.64,21
eslicarbazepine,2022,151,308517.92,23
eslicarbazepine,2023,190,399371.38,22
eslicarbazepine,2024,197,404637.6,14
eslicarbazepine,2025,171,312713.65,50
eslicarbazepine,2026,0,0.0,22
ethosuximide,2019,1323,129684.81,24
ethosuximide,2020,1235,125856.13,25
ethosuximide,2021,1198,125339.76,21
ethosuximide,2022,1305,127197.07,26
ethosuximide,2023,1297,103194.08,22
ethosuximide,2024,1271,88955.3,11
ethosuximide,2025,1552,85259.65,6
ethosuximide,2026,351,18926.9,1
felbamate,2019,2358,1654338.93,66
felbamate,2020,2353,1526297.67,88
felbamate,2021,2414,1387586.03,80
felbamate,2022,2236,1083557.42,108
felbamate,2023,2360,899811.78,110
felbamate,2024,2127,593506.31,85
felbamate,2025,2436,597740.58,85
felbamate,2026,547,105658.28,23
fenfluramine,2020,0,0.0,1
fenfluramine,2021,0,0.0,6
fenfluramine,2022,92,960347.38,4
fenfluramine,2023,199,2130784.35,0
fenfluramine,2024,193,2088478.09,0
fenfluramine,2025,294,3037407.25,1
fenfluramine,2026,84,869191.08,0
ganaxolone,2023,0,0.0,2
ganaxolone,2024,0,0.0,3
ganaxolone,2025,46,712485.07,2
ganaxolone,2026,15,232645.95,1
lacosamide,2019,6749,6295427.03,23
lacosamide,2020,7994,7699243.6,22
lacosamide,2021,7461,7296601.1,30
lacosamide,2022,7842,4349069.11,127
lacosamide,2023,10270,1808442.38,138
lacosamide,2024,10452,1231871.02,152
lacosamide,2025,13912,1429288.89,176
lacosamide,2026,3310,292196.24,41
lamotrigine,2019,87116,2610547.48,400
lamotrigine,2020,98316,2675513.89,391
lamotrigine,2021,106099,2637213.78,325
lamotrigine,2022,109727,3163169.1,296
lamotrigine,2023,111425,3304653.83,372
lamotrigine,2024,95874,2265015.5,347
lamotrigine,2025,105593,2565071.99,419
lamotrigine,2026,22585,529679.12,106
levetiracetam,2019,47060,1896050.04,378
levetiracetam,2020,51018,2067100.73,402
levetiracetam,2021,50796,1991231.29,339
levetiracetam,2022,51713,2122425.95,412
levetiracetam,2023,50930,2220941.06,510
levetiracetam,2024,44066,1655964.58,459
levetiracetam,2025,51567,1911289.06,454
levetiracetam,2026,10682,377884.23,104
methsuximide,2019,115,31143.11,3
methsuximide,2020,107,30662.92,4
methsuximide,2021,69,21853.8,3
methsuximide,2022,43,10793.07,1
methsuximide,2023,0,0.0,7
methsuximide,2024,0,0.0,14
methsuximide,2025,0,0.0,15
methsuximide,2026,0,0.0,3
oxcarbazepine,2019,19671,1143957.51,73
oxcarbazepine,2020,20718,1443643.52,54
oxcarbazepine,2021,21163,1512496.11,51
oxcarbazepine,2022,21954,1712676.42,61
oxcarbazepine,2023,21313,1900834.19,82
oxcarbazepine,2024,17898,1594316.11,86
oxcarbazepine,2025,19456,1369001.12,144
oxcarbazepine,2026,4161,238656.45,33
perampanel,2019,353,402394.33,36
perampanel,2020,659,706994.06,21
perampanel,2021,681,804889.29,20
perampanel,2022,688,811669.79,19
perampanel,2023,740,878435.49,17
perampanel,2024,569,712944.53,41
perampanel,2025,686,745537.71,54
perampanel,2026,111,128571.99,29
phenobarbital,2019,2611,127915.74,134
phenobarbital,2020,2533,133851.39,209
phenobarbital,2021,2271,141645.39,279
phenobarbital,2022,1774,83101.23,363
phenobarbital,2023,1748,62719.37,374
phenobarbital,2024,1433,42497.08,327
phenobarbital,2025,1760,56325.07,333
phenobarbital,2026,361,14166.19,74
phenytoin,2019,5472,268378.42,96
phenytoin,2020,5382,292714.72,71
phenytoin,2021,4737,272215.28,77
phenytoin,2022,4232,250748.09,76
phenytoin,2023,3698,254450.88,76
phenytoin,2024,2806,177844.27,69
phenytoin,2025,2741,172171.68,70
phenytoin,2026,445,25137.66,17
