rank,isd,district,county,locale,classification,confirmation_status,nurse_risk_tier,prob_no_nurse,school_year,total_enrollment,sped_count,ohd_count,ohd_share_of_enrollment_pct,suppression_flag
1,833,South Washington County,Washington County,Suburb,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",21283,4238,526,2.47,not_suppressed_in_source
2,728,Elk River Public School District,Sherburne County,Suburb,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",15591,2796,289,1.85,not_suppressed_in_source
3,742,St. Cloud,Stearns County,City,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",14601,3166,276,1.89,not_suppressed_in_source
4,621,Mounds View Public School District,Ramsey County,Suburb,NOT_FOUND,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",12436,1841,274,2.2,not_suppressed_in_source
5,152,Moorhead Area Public Schools,Clay County,Suburb,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",8621,1840,237,2.75,not_suppressed_in_source
6,192,Farmington Public School District,Dakota County,Suburb,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",6879,1446,165,2.4,not_suppressed_in_source
7,199,Inver Grove Heights Schools,Dakota County,Suburb,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",3694,835,155,4.2,not_suppressed_in_source
8,276,Minnetonka Public School District,Hennepin County,City,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",7416,1078,139,1.87,not_suppressed_in_source
9,31,Bemidji Area Schools,Beltrami County,Town,NOT_VERIFIABLE,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",5171,1182,122,2.36,not_suppressed_in_source
10,761,Owatonna Public School District,Steele County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",5228,1013,115,2.2,not_suppressed_in_source
11,347,Willmar,Kandiyohi County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",4791,1074,115,2.4,not_suppressed_in_source
12,721,New Prague Area Schools,Scott County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",3748,638,113,3.01,not_suppressed_in_source
13,659,Northfield Public School District,Rice County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",3676,754,112,3.05,not_suppressed_in_source
14,256,Red Wing Public School District,Goodhue County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",2588,597,98,3.79,not_suppressed_in_source
15,283,St. Louis Park Public School District,Hennepin County,City,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",6410,874,94,1.47,not_suppressed_in_source
16,701,Hibbing Public School District,St. Louis County,Town,NOT_FOUND,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",2458,558,89,3.62,not_suppressed_in_source
17,748,Sartell-St. Stephen School District,Stearns County,Suburb,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",4247,838,87,2.05,not_suppressed_in_source
18,656,Faribault,Rice County,Town,FOUND_MED_POLICY_ONLY,in_progress,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",4711,878,84,1.78,not_suppressed_in_source
19,482,Little Falls Community Schools,Morrison County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",2731,622,77,2.82,not_suppressed_in_source
20,138,North Branch Area Public Schools,Chisago County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",3182,583,73,2.29,not_suppressed_in_source
21,13,Columbia Heights Public School Dist,Anoka County,Suburb,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",3415,671,68,1.99,not_suppressed_in_source
22,882,Monticello Public School District,Wright County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",4037,786,68,1.68,not_suppressed_in_source
23,2905,Tri-City United School District,Le Sueur County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",2422,520,64,2.64,not_suppressed_in_source
24,465,Litchfield Public School District,Meeker County,Town,NOT_VERIFIABLE,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1804,431,63,3.49,not_suppressed_in_source
25,726,Becker Public School District,Sherburne County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",2448,500,59,2.41,not_suppressed_in_source
26,704,Proctor Public School District,St. Louis County,Suburb,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1724,338,55,3.19,not_suppressed_in_source
27,2142,St. Louis County School District,St. Louis County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1967,499,55,2.8,not_suppressed_in_source
28,861,Winona Area,Winona County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",3881,735,53,1.37,not_suppressed_in_source
29,534,Stewartville Public Schools,Olmsted County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1753,388,51,2.91,not_suppressed_in_source
30,2859,Glencoe-Silver Lake School District,McLeod County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1772,373,47,2.65,not_suppressed_in_source
31,879,Delano Public School District,Wright County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",2457,416,46,1.87,not_suppressed_in_source
