isd,district,county,locale,enrollment_2024,seizure_classification,has_public_seizure_plan,support_staff_fte_nces2024,nurse_risk_tier,prob_no_lsn_based_on_mdh2022,dual_risk_no_plan_likely_no_nurse,county_uninsured_pct,county_disability_pct,combined_risk_score,nces_leaid,nces_state_leaid
514,Ellsworth Public School District,Nobles County,Rural,136,FOUND_MED_POLICY_ONLY,False,0.0,ZERO_SUPPORT_STAFF,95%,True,16.5,33.2,14,2711460,MN-010514
2907,Round Lake-Brewster Public Schools,Nobles County,Rural,495,NOT_FOUND,False,1.0,HIGH_RISK_SMALL,83%,True,16.5,33.2,13,2700388,MN-012907
511,Adrian Public School District,Nobles County,Rural,589,FOUND_MED_POLICY_ONLY,False,1.0,ELEVATED_RISK_MID,60%,True,16.5,33.2,12,2702730,MN-010511
836,Butterfield-Odin Public Schools,Watonwan County,Rural,213,FOUND_MED_POLICY_ONLY,False,4.0,HIGH_RISK_SMALL,83%,True,13.4,33.0,12,2707320,MN-010836
815,Prinsburg Public School District,Kandiyohi County,Rural,0,NOT_VERIFIABLE,False,0.0,ZERO_SUPPORT_STAFF,95%,True,10.0,30.0,12,2716830,MN-020815
435,Waubun-Ogema-White Earth Schools,Mahnomen County,Rural,727,FOUND_MED_POLICY_ONLY,False,6.0,ELEVATED_RISK_MID,60%,True,11.4,42.2,11,2742120,MN-010435
432,Mahnomen Public School District,Mahnomen County,Rural,674,FOUND_MED_POLICY_ONLY,False,6.0,ELEVATED_RISK_MID,60%,True,11.4,42.2,11,2718660,MN-010432
837,Madelia Public School District,Watonwan County,Rural,646,FOUND_MED_POLICY_ONLY,False,7.0,ELEVATED_RISK_MID,60%,True,13.4,33.0,11,2718570,MN-010837
173,Mountain Lake Public Schools,Cottonwood County,Rural,498,FOUND_MED_POLICY_ONLY,False,14.0,HIGH_RISK_SMALL,83%,True,10.2,32.9,11,2723010,MN-010173
818,Verndale Public School District,Wadena County,Rural,484,FOUND_MED_POLICY_ONLY,False,3.0,HIGH_RISK_SMALL,83%,True,8.8,34.4,11,2740920,MN-010818
2898,Westbrook-Walnut Grove Schools,Cottonwood County,Rural,497,FOUND_MED_POLICY_ONLY,False,18.0,HIGH_RISK_SMALL,83%,True,10.2,32.9,11,2700183,MN-012898
333,Ogilvie Public School District,Kanabec County,Rural,472,FOUND_MED_POLICY_ONLY,False,15.0,HIGH_RISK_SMALL,83%,True,8.5,33.8,11,2723970,MN-010333
441,Marshall County Central Schools,Marshall County,Rural,463,NOT_VERIFIABLE,False,3.0,HIGH_RISK_SMALL,83%,True,8.2,31.9,11,2723550,MN-010441
242,Alden-Conger Public School District,Freeborn County,Rural,444,FOUND_MED_POLICY_ONLY,False,5.0,HIGH_RISK_SMALL,83%,True,9.8,32.7,11,2703030,MN-010242
2159,Buffalo Lake-Hector-Stewart,Renville County,Rural,451,FOUND_MED_POLICY_ONLY,False,5.0,HIGH_RISK_SMALL,83%,True,9.8,33.2,11,2700023,MN-012159
581,Edgerton Public School District,Pipestone County,Rural,437,FOUND_MED_POLICY_ONLY,False,3.0,HIGH_RISK_SMALL,83%,True,9.1,32.6,11,2711220,MN-010581
495,Grand Meadow Public School District,Mower County,Rural,443,FOUND_MED_POLICY_ONLY,False,5.0,HIGH_RISK_SMALL,83%,True,10.6,30.9,11,2713140,MN-010495
473,Isle Public School District,Mille Lacs County,Rural,394,FOUND_MED_POLICY_ONLY,False,10.0,HIGH_RISK_SMALL,83%,True,8.3,32.7,11,2715510,MN-010473
577,Willow River Public School District,Pine County,Rural,436,FOUND_MED_POLICY_ONLY,False,5.0,HIGH_RISK_SMALL,83%,True,8.7,33.9,11,2742750,MN-010577
2884,Red Rock Central School District,Redwood County,Rural,404,FOUND_MED_POLICY_ONLY,False,5.0,HIGH_RISK_SMALL,83%,True,8.5,31.7,11,2700132,MN-012884
2754,Cedar Mountain School District,Redwood County,Rural,390,FOUND_MED_POLICY_ONLY,False,17.0,HIGH_RISK_SMALL,83%,True,8.5,31.7,11,2700110,MN-012754
803,Wheaton Area Public School District,Traverse County,Rural,352,FOUND_MED_POLICY_ONLY,False,-1.0,HIGH_RISK_SMALL,83%,True,8.5,33.8,11,2742330,MN-010803
505,Fulda Public School District,Murray County,Rural,336,FOUND_MED_POLICY_ONLY,False,4.0,HIGH_RISK_SMALL,83%,True,8.3,31.7,11,2712480,MN-010505
671,Hills-Beaver Creek School District,Rock County,Rural,343,FOUND_MED_POLICY_ONLY,False,4.0,HIGH_RISK_SMALL,83%,True,8.0,30.8,11,2714040,MN-010671
100,Wrenshall Public School District,Carlton County,Rural,347,FOUND_MED_POLICY_ONLY,False,5.0,HIGH_RISK_SMALL,83%,True,8.0,31.0,11,2744190,MN-010100
36,Kelliher Public School District,Beltrami County,Rural,311,FOUND_MED_POLICY_ONLY,False,3.0,HIGH_RISK_SMALL,83%,True,8.2,32.7,11,2717010,MN-010036
261,Ashby Public School District,Grant County,Rural,315,FOUND_MED_POLICY_ONLY,False,4.0,HIGH_RISK_SMALL,83%,True,8.0,32.3,11,2703300,MN-010261
850,Rothsay Public School District,Wilkin County,Rural,334,FOUND_MED_POLICY_ONLY,False,3.0,HIGH_RISK_SMALL,83%,True,8.0,31.3,11,2732460,MN-010850
497,Lyle Public School District,Mower County,Rural,306,FOUND_MED_POLICY_ONLY,False,4.0,HIGH_RISK_SMALL,83%,True,10.6,30.9,11,2718360,MN-010497
2536,Granada Huntley East Chain,Martin County,Rural,317,FOUND_MED_POLICY_ONLY,False,4.0,HIGH_RISK_SMALL,83%,True,8.4,31.8,11,2713040,MN-012536
95,Cromwell-Wright Public Schools,Carlton County,Rural,300,FOUND_MED_POLICY_ONLY,False,2.0,HIGH_RISK_SMALL,83%,True,8.0,31.0,11,2709690,MN-010095
93,Carlton Public School District,Carlton County,Town,308,FOUND_MED_POLICY_ONLY,False,6.0,HIGH_RISK_SMALL,83%,True,8.0,31.0,11,2707590,MN-010093
2856,Stephen-Argyle Central Schools,Marshall County,Rural,282,FOUND_MED_POLICY_ONLY,False,2.0,HIGH_RISK_SMALL,83%,True,8.2,31.9,11,2700127,MN-012856
458,Truman Public School District,Martin County,Rural,229,FOUND_MED_POLICY_ONLY,False,6.0,HIGH_RISK_SMALL,83%,True,8.4,31.8,11,2740680,MN-010458
2886,Glenville-Emmons School District,Freeborn County,Rural,236,FOUND_MED_POLICY_ONLY,False,3.0,HIGH_RISK_SMALL,83%,True,9.8,32.7,11,2700148,MN-012886
2215,Norman County East School District,Norman County,Rural,166,FOUND_MED_POLICY_ONLY,False,4.0,HIGH_RISK_SMALL,83%,True,8.3,31.7,11,2700101,MN-012215
801,Browns Valley Public School Dist,Traverse County,Rural,205,NOT_FOUND,False,1.0,HIGH_RISK_SMALL,83%,True,8.5,33.8,11,2707110,MN-010801
415,Lynd Public School District,Lyon County,Rural,175,FOUND_MED_POLICY_ONLY,False,0.0,ZERO_SUPPORT_STAFF,95%,True,8.5,29.1,11,2718390,MN-010415
852,Campbell-Tintah Public Schools,Wilkin County,Rural,115,FOUND_MED_POLICY_ONLY,False,1.0,HIGH_RISK_SMALL,83%,True,8.0,31.3,11,2707450,MN-010852
447,Grygla Public School District,Marshall County,Rural,135,NOT_FOUND,False,2.0,HIGH_RISK_SMALL,83%,True,8.2,31.9,11,2718920,MN-010447
81,Comfrey Public School District,Brown County,Rural,104,FOUND_MED_POLICY_ONLY,False,4.0,HIGH_RISK_SMALL,83%,True,8.1,30.2,11,2709540,MN-010081
264,Herman-Norcross Community School,Grant County,Rural,92,FOUND_MED_POLICY_ONLY,False,1.0,HIGH_RISK_SMALL,83%,True,8.0,32.3,11,2713890,MN-010264
25,Pine Point Public School District,Becker County,Rural,46,FOUND_MED_POLICY_ONLY,False,0.0,ZERO_SUPPORT_STAFF,95%,True,7.5,30.3,11,2728960,MN-010025
518,Worthington Public School District,Nobles County,Town,4064,NOT_VERIFIABLE,False,52.0,LOW_RISK_LARGE,7%,False,16.5,33.2,10,2744160,MN-010518
2753,Long Prairie-Grey Eagle School Dist,Todd County,Rural,984,FOUND_MED_POLICY_ONLY,False,12.0,ELEVATED_RISK_MID,60%,True,10.4,34.5,10,2700109,MN-012753
