npi,name,city,state,zip5,lat,lon
1124801279,ALLINA HEALTH SYSTEM,CAMBRIDGE,MN,55008,45.57271,-93.27004
1780648964,ALLINA HEALTH SYSTEM,CAMBRIDGE,MN,55008,45.57271,-93.27004
1407878192,GRAND ST PAUL CVS LLC,CAMBRIDGE,MN,55008,45.57271,-93.27004
1811287808,NASH-FINCH LLC,CANNON FALLS,MN,55009,44.48303,-92.86484
1487792495,SUPERVALU PHARMACIES INC,CAMBRIDGE,MN,55008,45.57271,-93.27004
1578578704,WALGREEN CO,CAMBRIDGE,MN,55008,45.57271,-93.27004
1710904107,WALMART INC.,CAMBRIDGE,MN,55008,45.57271,-93.27004
1851355135,ALLINA HEALTH SYSTEM,COTTAGE GROVE,MN,55016,44.8177,-92.93462
1538942685,ALLINA HEALTH SYSTEM,COTTAGE GROVE,MN,55016,44.8177,-92.93462
1245636489,FAIRVIEW PHARMACY SERVICES LLC,CHISAGO CITY,MN,55013,45.35437,-92.89819
1972782290,GORDY'S PHARMACY INC.,CENTER CITY,MN,55012,45.4379,-92.79168
1043232739,GRAND ST PAUL CVS LLC,LINO LAKES,MN,55014,45.16421,-93.12315
1861414542,GRAND ST PAUL CVS LLC,COTTAGE GROVE,MN,55016,44.8177,-92.93462
1003337023,HY-VEE INC,COTTAGE GROVE,MN,55016,44.8177,-92.93462
1861507907,SUPERVALU PHARMACIES INC,COTTAGE GROVE,MN,55016,44.8177,-92.93462
1932114253,WALGREEN CO,CIRCLE PINES,MN,55014,45.16421,-93.12315
1225043532,WALGREEN CO,COTTAGE GROVE,MN,55016,44.8177,-92.93462
1801813209,WALMART INC.,CIRCLE PINES,MN,55014,45.16421,-93.12315
1730519562,WALMART INC.,COTTAGE GROVE,MN,55016,44.8177,-92.93462
1689457624,ALLINA HEALTH SYSTEM,FARIBAULT,MN,55021,44.29978,-93.27718
1598822686,ALLINA HEALTH SYSTEM,FARIBAULT,MN,55021,44.29978,-93.27718
1164596508,BOYES PHARMACY,FARIBAULT,MN,55021,44.29978,-93.27718
1770770828,GRAND ST PAUL CVS LLC,FARMINGTON,MN,55024,44.62994,-93.13428
1780606475,GRAND ST PAUL CVS LLC,FOREST LAKE,MN,55025,45.26256,-93.0227
1053340711,HY-VEE INC,FARIBAULT,MN,55021,44.29978,-93.27718
1497838759,"LAKES SNYDER DRUG, INC",FOREST LAKE,MN,55025,45.26256,-93.0227
1164516563,SNYDERS DRUG,FARIBAULT,MN,55021,44.29978,-93.27718
1558476697,SUPERVALU PHARMACIES INC,FOREST LAKE,MN,55025,45.26256,-93.0227
1750396982,WALGREEN CO,FARIBAULT,MN,55021,44.29978,-93.27718
1114932340,WALGREEN CO,FOREST LAKE,MN,55025,45.26256,-93.0227
1447277827,WALMART INC.,FARIBAULT,MN,55021,44.29978,-93.27718
1801813290,WALMART INC.,FOREST LAKE,MN,55025,45.26256,-93.0227
1841627387,ALLINA HEALTH SYSTEM,HASTINGS,MN,55033,44.713,-92.86373
1447447644,COBORNS INC,HASTINGS,MN,55033,44.713,-92.86373
1770719585,FAIRVIEW PHARMACY SERVICES LLC,HUGO,MN,55038,45.16869,-92.97938
1194126995,GRAND ST PAUL CVS LLC,HASTINGS,MN,55033,44.713,-92.86373
1083758676,HINCKLEY DRUG LLC,HINCKLEY,MN,55037,46.01299,-92.77561
1811002959,SUPERVALU PHARMACIES INC,HASTINGS,MN,55033,44.713,-92.86373
1245081066,"THE DULUTH CLINIC, LTD.",HINCKLEY,MN,55037,46.01299,-92.77561
1023023249,WALGREEN CO,HASTINGS,MN,55033,44.713,-92.86373
1629095005,WALMART INC.,HASTINGS,MN,55033,44.713,-92.86373
1639784994,ASTRUP DRUG INC,LAKE CITY,MN,55041,44.39402,-92.32022
1427101112,"ASTRUP DRUG, INC",LAKE CITY,MN,55041,44.39402,-92.32022
1144676370,COBORNS INC,ISANTI,MN,55040,45.4685,-93.27972
1629159736,ERICKSON DRUG INC,LAKEVILLE,MN,55044,44.64094,-93.2798
1508890450,FAIRVIEW PHARMACY SERVICES LLC,SHOREVIEW,MN,55126,45.08477,-93.13255
1861414559,GRAND ST PAUL CVS LLC,LAKEVILLE,MN,55044,44.64094,-93.2798
1619147923,GRAND ST PAUL CVS LLC,LAKEVILLE,MN,55044,44.64094,-93.2798
1487748760,GRAND ST PAUL CVS PHCY LLC,LAKEVILLE,MN,55044,44.64094,-93.2798
1487690848,HERRMANN DRUG INC,LONSDALE,MN,55046,44.44863,-93.41897
1851746986,HY-VEE INC,LAKEVILLE,MN,55044,44.64094,-93.2798
1275681538,RBF LLC,LAKEVILLE,MN,55044,44.64094,-93.2798
