report_type,molecule,ndc,drug_description,manufacturer,effective_date,wac_before_usd,wac_after_usd,dollar_change_usd,percent_change,wac_last_day_1yr_prior_usd,patent_expiration,reason_given,reason_withheld_as_trade_secret,source_file,source_url,date_accessed
new drug,ganaxolone,81583010005,ZTALMY(R) (ganaxolone) oral suspension (50 mg/mL). Cherry flavored white to off white suspension in a 4 fl. oz (135 mL) round natural high density polyethylene bottle with a propylene child resistant cap containing 110 mL of ZTALMY. Carton with five bottles,"Marinus Pharmaceuticals, Inc.",2022-08-22,,12125,,,,2037-08-10,,,newrxpricerptg.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/newrxpricerptg.xlsx,2026-09-19
new drug,ganaxolone,81583010001,ZTALMY(R) (ganaxolone) oral suspension (50 mg/mL). Cherry flavored white to off white suspension in a 4 fl. oz (135 mL) round natural high density polyethylene bottle with a propylene child resistant cap containing 110 mL of ZTALMY. Carton with one bottle.,"Marinus Pharmaceuticals, Inc.",2022-08-22,,2425,,,,2037-08-10,,,newrxpricerptg.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/newrxpricerptg.xlsx,2026-09-19
new drug,lacosamide,51991034906,Lacosamide 100 MG Tablet 60.000 EA,BRECKENRIDGE PHARMACEUTICAL INC,2022-03-29,,28,,,,,,,newrxpricerptg.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/newrxpricerptg.xlsx,2026-09-19
new drug,lacosamide,51991035006,Lacosamide 150 MG Tablet 60.000 EA,BRECKENRIDGE PHARMACEUTICAL INC,2022-03-29,,29.5,,,,,,,newrxpricerptg.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/newrxpricerptg.xlsx,2026-09-19
new drug,lacosamide,51991035106,Lacosamide 200 MG Tablet 60.000 EA,BRECKENRIDGE PHARMACEUTICAL INC,2022-03-29,,29.5,,,,,,,newrxpricerptg.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/newrxpricerptg.xlsx,2026-09-19
new drug,topiramate,00480235901,TOPIRAMATE ER CAPSULE 200MG 100,"Teva Pharmaceuticals, Inc.",2023-03-31,,3750.75,,,,,,,newrxpricerptg.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/newrxpricerptg.xlsx,2026-09-19
new drug,topiramate,00480235956,TOPIRAMATE ER CAPSULE 200MG 30,"Teva Pharmaceuticals, Inc.",2023-03-31,,1125.24,,,,,,,newrxpricerptg.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/newrxpricerptg.xlsx,2026-09-19
price increase,carbamazepine,00078050883,"TEGRETOL (SUSPENSION, ORAL (FINAL DOSE FORM), 100 mg/5 mL, 450)",Novartis Pharmaceuticals Corporation,2023-01-04,171.36,188.32,16.96,9.9%,171.36,1996-10-03,"Increases in rate of inflation, continued investment in innovation, post-marketing regulatory commitments, ongoing pharmacovigilance, market conditions and dynamics",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
price increase,carbamazepine,00078050905,"TEGRETOL (TABLET, 200 mg, 100)",Novartis Pharmaceuticals Corporation,2023-01-04,266.05,292.39,26.34,9.9%,266.05,1996-10-03,"Increases in rate of inflation, continued investment in innovation, post-marketing regulatory commitments, ongoing pharmacovigilance, market conditions and dynamics",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
price increase,carbamazepine,00078051005,"TEGRETOL XR (TABLET, EXTENDED RELEASE 12 HR, 100 mg, 100)",Novartis Pharmaceuticals Corporation,2023-01-04,142.41,156.51,14.1,9.9%,142.41,2011-02-08,"Increases in rate of inflation, continued investment in innovation, post-marketing regulatory commitments, ongoing pharmacovigilance, market conditions and dynamics",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
price increase,carbamazepine,00078051105,"TEGRETOL XR (TABLET, EXTENDED RELEASE 12 HR, 200 mg, 100)",Novartis Pharmaceuticals Corporation,2023-01-04,284.24,312.38,28.14,9.9%,284.24,2011-02-08,"Increases in rate of inflation, continued investment in innovation, post-marketing regulatory commitments, ongoing pharmacovigilance, market conditions and dynamics",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
price increase,carbamazepine,00078051205,"TEGRETOL XR (TABLET, EXTENDED RELEASE 12 HR, 400 mg, 100)",Novartis Pharmaceuticals Corporation,2023-01-04,568.03,624.26,56.23,9.9%,568.03,2011-02-08,"Increases in rate of inflation, continued investment in innovation, post-marketing regulatory commitments, ongoing pharmacovigilance, market conditions and dynamics",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
price increase,clobazam,67386031401,Onfi 10mg Tablet 100ct Bottle,Lundbeck,2022-01-03,2412.13,2532.74,120.61,5%,2412.1317,,"Brain health is Lundbeck’s sole focus and there is a high cost and high risk to developing and bringing therapies for brain diseases to market. As we price our therapies, we carefully balance the high-risk nature of this work with the needs of patients who depend on us to continue seeking new ways to improve their quality of life. Our pricing practices reflect these realities and focus on the value that our treatments bring to patients and society, the need to invest in continued innovation, and our commitment to affordability – offering patient assistance programs that can help ensure patients who rely on our medicines have access to our therapies.",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
price increase,clobazam,67386031401,Onfi 10mg Tablet 100ct Bottle,Lundbeck LLC,2023-01-02,2532.74,2748.0229,215.28,8.5%,2532.74,,"Brain health is Lundbeck’s sole focus and there is a high cost and high risk to developing and bringing therapies for brain diseases to market. As we price our therapies, we carefully balance the high-risk nature of this work with the needs of patients who depend on us to continue seeking new ways to improve their quality of life. Our pricing practices reflect these realities and focus on the value that our treatments bring to patients and society, the need to invest in continued innovation, and our commitment to affordability – offering patient assistance programs that can help ensure patients who rely on our medicines have access to our therapies.",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
price increase,clobazam,67386031401,Onfi 10mg Tablet 100ct Bottle,Lundbeck,2024-01-02,2748.02,2981.6048,233.58,8.5%,2748.0229,,"Brain health is Lundbeck’s sole focus and there is a high cost and high risk to developing and bringing therapies for brain diseases to market. As we price our therapies, we carefully balance the high-risk nature of this work with the needs of patients who depend on us to continue seeking new ways to improve their quality of life. Our pricing practices reflect these realities and focus on the value that our treatments bring to patients and society, the need to invest in continued innovation, and our commitment to affordability – offering patient assistance programs that can help ensure patients who rely on our medicines have access to our therapies.",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
price increase,clobazam,67386031501,Onfi 20mg Tablet 100ct Bottle,Lundbeck,2022-01-03,4824.21,5065.42,241.21,5%,4824.2087,,"Brain health is Lundbeck’s sole focus and there is a high cost and high risk to developing and bringing therapies for brain diseases to market. As we price our therapies, we carefully balance the high-risk nature of this work with the needs of patients who depend on us to continue seeking new ways to improve their quality of life. Our pricing practices reflect these realities and focus on the value that our treatments bring to patients and society, the need to invest in continued innovation, and our commitment to affordability – offering patient assistance programs that can help ensure patients who rely on our medicines have access to our therapies.",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
price increase,clobazam,67386031501,Onfi 20mg Tablet 100ct Bottle,Lundbeck LLC,2023-01-02,5065.42,5495.9807,430.56,8.5%,5065.42,,"Brain health is Lundbeck’s sole focus and there is a high cost and high risk to developing and bringing therapies for brain diseases to market. As we price our therapies, we carefully balance the high-risk nature of this work with the needs of patients who depend on us to continue seeking new ways to improve their quality of life. Our pricing practices reflect these realities and focus on the value that our treatments bring to patients and society, the need to invest in continued innovation, and our commitment to affordability – offering patient assistance programs that can help ensure patients who rely on our medicines have access to our therapies.",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
price increase,clobazam,67386031501,Onfi 20mg Tablet 100ct Bottle,Lundbeck,2024-01-02,5495.98,5963.1391,467.16,8.5%,5495.9807,,"Brain health is Lundbeck’s sole focus and there is a high cost and high risk to developing and bringing therapies for brain diseases to market. As we price our therapies, we carefully balance the high-risk nature of this work with the needs of patients who depend on us to continue seeking new ways to improve their quality of life. Our pricing practices reflect these realities and focus on the value that our treatments bring to patients and society, the need to invest in continued innovation, and our commitment to affordability – offering patient assistance programs that can help ensure patients who rely on our medicines have access to our therapies.",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
price increase,clobazam,67386031321,Onfi Suspension 2.5mg/mL 120mL Bottle,Lundbeck,2022-01-03,1267.35,1330.72,63.37,5%,1267.353,,"Brain health is Lundbeck’s sole focus and there is a high cost and high risk to developing and bringing therapies for brain diseases to market. As we price our therapies, we carefully balance the high-risk nature of this work with the needs of patients who depend on us to continue seeking new ways to improve their quality of life. Our pricing practices reflect these realities and focus on the value that our treatments bring to patients and society, the need to invest in continued innovation, and our commitment to affordability – offering patient assistance programs that can help ensure patients who rely on our medicines have access to our therapies.",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
price increase,clobazam,67386031321,Onfi Suspension 2.5mg/mL 120mL Bottle,Lundbeck LLC,2023-01-02,1330.72,1443.8312,113.11,8.5%,1330.72,,"Brain health is Lundbeck’s sole focus and there is a high cost and high risk to developing and bringing therapies for brain diseases to market. As we price our therapies, we carefully balance the high-risk nature of this work with the needs of patients who depend on us to continue seeking new ways to improve their quality of life. Our pricing practices reflect these realities and focus on the value that our treatments bring to patients and society, the need to invest in continued innovation, and our commitment to affordability – offering patient assistance programs that can help ensure patients who rely on our medicines have access to our therapies.",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
price increase,clobazam,67386031321,Onfi Suspension 2.5mg/mL 120mL Bottle,Lundbeck,2024-01-02,1443.83,1566.5569,122.73,8.5%,1443.8312,,"Brain health is Lundbeck’s sole focus and there is a high cost and high risk to developing and bringing therapies for brain diseases to market. As we price our therapies, we carefully balance the high-risk nature of this work with the needs of patients who depend on us to continue seeking new ways to improve their quality of life. Our pricing practices reflect these realities and focus on the value that our treatments bring to patients and society, the need to invest in continued innovation, and our commitment to affordability – offering patient assistance programs that can help ensure patients who rely on our medicines have access to our therapies.",no,rxpricegrowth.xlsx,https://www.health.state.mn.us/data/rxtransparency/docs/rxpricegrowth.xlsx,2026-09-19
