molecule,brand_generic,pricing_unit,kind,from_quarter,to_quarter,from_median,to_median,pct_change_group_median,n_matched_products,pct_change_matched_products_median,from_n_ndcs,to_n_ndcs,flag_basis
brivaracetam,brand,EA,first_vs_latest,2019Q1,2026Q3,18.34154,24.07111,31.2,2,31.3,4,8,
brivaracetam,brand,ML,first_vs_latest,2019Q1,2026Q3,,4.80982,,0,,,1,
brivaracetam,generic,EA,first_vs_latest,2019Q1,2026Q3,,0.22663,,0,,,21,
brivaracetam,generic,ML,first_vs_latest,2019Q1,2026Q3,,0.26378,,0,,,5,
carbamazepine,brand,EA,first_vs_latest,2019Q1,2026Q3,2.0739,1.69958,-18.0,6,24.6,6,7,
carbamazepine,brand,ML,first_vs_latest,2019Q1,2026Q3,0.34702,0.43701,25.9,1,25.9,1,1,
carbamazepine,generic,EA,first_vs_latest,2019Q1,2026Q3,0.29998,0.37763,25.9,8,-36.2,49,78,
carbamazepine,generic,EA,jump_25pct,2021Q1,2021Q2,0.30757,0.57291,86.3,9,-2.7,47,50,group_median_only
carbamazepine,generic,EA,jump_25pct,2022Q1,2022Q2,0.53596,0.93623,74.7,9,-2.1,59,67,group_median_only
carbamazepine,generic,EA,jump_25pct,2026Q2,2026Q3,0.24436,0.37763,54.5,8,0.6,75,78,group_median_only
carbamazepine,generic,ML,first_vs_latest,2019Q1,2026Q3,0.11213,0.09596,-14.4,1,-14.4,2,4,
cenobamate,brand,EA,first_vs_latest,2019Q1,2026Q3,,39.86819,,0,,,5,
clobazam,brand,EA,first_vs_latest,2019Q1,2026Q3,29.02909,32.75766,12.8,2,54.7,2,8,
clobazam,brand,ML,first_vs_latest,2019Q1,2026Q3,8.44798,12.47667,47.7,1,47.7,1,1,
clobazam,generic,EA,first_vs_latest,2019Q1,2026Q3,1.08366,0.24734,-77.2,2,-69.2,16,16,
clobazam,generic,EA,jump_25pct,2019Q3,2019Q4,0.38711,0.51537,33.1,2,32.7,26,26,both
clobazam,generic,EA,jump_25pct,2021Q4,2022Q1,0.29958,0.37729,25.9,2,39.0,29,28,both
clobazam,generic,EA,jump_25pct,2023Q1,2023Q2,0.3309,0.42271,27.7,2,5.1,24,22,group_median_only
clobazam,generic,EA,jump_25pct,2024Q2,2024Q3,0.32325,0.3619,12.0,2,25.2,20,20,matched_products_only
clobazam,generic,ML,first_vs_latest,2019Q1,2026Q3,1.33196,0.16869,-87.3,1,-87.3,5,7,
clobazam,generic,ML,jump_25pct,2020Q3,2020Q4,0.44684,0.55855,25.0,1,25.0,7,8,both
clobazam,generic,ML,jump_25pct,2021Q3,2021Q4,0.40661,0.60744,49.4,1,49.4,9,10,both
eslicarbazepine,brand,EA,first_vs_latest,2019Q1,2026Q3,31.01417,44.21645,42.6,4,42.3,4,4,
eslicarbazepine,generic,EA,first_vs_latest,2019Q1,2026Q3,,2.11183,,0,,,28,
ethosuximide,brand,EA,first_vs_latest,2019Q1,2026Q3,,1.30857,,0,,,1,
ethosuximide,generic,EA,first_vs_latest,2019Q1,2026Q3,0.74512,0.2483,-66.7,1,-66.7,5,5,
ethosuximide,generic,EA,jump_25pct,2021Q4,2022Q1,0.28885,0.61011,111.2,1,111.2,6,6,both
ethosuximide,generic,EA,jump_25pct,2022Q2,2022Q3,0.43619,0.56738,30.1,1,30.1,6,6,both
ethosuximide,generic,EA,jump_25pct,2023Q2,2023Q3,0.30509,0.3886,27.4,1,27.4,7,6,both
ethosuximide,generic,ML,first_vs_latest,2019Q1,2026Q3,0.2006,0.09388,-53.2,1,-53.2,2,2,
ethosuximide,generic,ML,jump_25pct,2024Q4,2025Q1,0.07611,0.09653,26.8,1,26.8,2,2,both
felbamate,brand,EA,first_vs_latest,2019Q1,2026Q3,,15.76514,,0,,,2,
felbamate,generic,EA,first_vs_latest,2019Q1,2026Q3,2.62889,1.01413,-61.4,2,-67.0,20,14,
felbamate,generic,EA,jump_25pct,2020Q4,2021Q1,2.44438,3.07085,25.6,2,12.8,19,18,group_median_only
felbamate,generic,EA,jump_25pct,2021Q3,2021Q4,1.56185,2.8194,80.5,2,24.8,19,18,group_median_only
felbamate,generic,EA,jump_25pct,2023Q2,2023Q3,0.94122,1.42735,51.6,2,11.9,19,19,group_median_only
felbamate,generic,EA,jump_25pct,2024Q4,2025Q1,1.22642,1.69152,37.9,2,24.7,17,16,group_median_only
felbamate,generic,ML,first_vs_latest,2019Q1,2026Q3,,0.33516,,0,,,3,
lacosamide,brand,EA,first_vs_latest,2019Q1,2026Q3,14.23536,19.62285,37.8,4,33.7,8,11,
lacosamide,brand,ML,first_vs_latest,2019Q1,2026Q3,1.59769,2.29765,43.8,1,43.8,2,1,
lacosamide,generic,EA,first_vs_latest,2019Q1,2026Q3,,0.16758,,0,,,62,
lacosamide,generic,ML,first_vs_latest,2019Q1,2026Q3,,0.08203,,0,,,15,
lacosamide,generic,ML,jump_25pct,2022Q3,2022Q4,0.11526,0.16934,46.9,2,46.9,3,4,both
lamotrigine,brand,EA,first_vs_latest,2019Q1,2026Q3,14.75275,14.2042,-3.7,12,23.8,12,15,
lamotrigine,brand,ML,first_vs_latest,2019Q1,2026Q3,,2.86512,,0,,,1,
lamotrigine,generic,EA,first_vs_latest,2019Q1,2026Q3,0.07378,0.08404,13.9,20,-44.5,145,165,
lamotrigine,generic,EA,jump_25pct,2021Q2,2021Q3,0.09503,0.18104,90.5,20,0.0,126,128,group_median_only
lamotrigine,generic,EA,jump_25pct,2021Q3,2021Q4,0.18104,0.2604,43.8,20,-2.9,128,129,group_median_only
lamotrigine,generic,EA,jump_25pct,2025Q1,2025Q2,0.08067,0.17464,116.5,20,0.9,147,151,group_median_only
lamotrigine,generic,EA,jump_25pct,2026Q1,2026Q2,0.08161,0.11515,41.1,20,-0.2,159,164,group_median_only
levetiracetam,brand,EA,first_vs_latest,2019Q1,2026Q3,8.67541,10.2412,18.0,6,31.7,6,12,
levetiracetam,brand,ML,first_vs_latest,2019Q1,2026Q3,1.47298,1.91857,30.3,1,30.3,1,1,
levetiracetam,generic,EA,first_vs_latest,2019Q1,2026Q3,0.15176,0.07391,-51.3,6,-27.2,118,120,
levetiracetam,generic,EA,jump_25pct,2023Q1,2023Q2,0.11611,0.15718,35.4,6,-0.8,140,138,group_median_only
levetiracetam,generic,ML,first_vs_latest,2019Q1,2026Q3,0.03493,0.03013,-13.7,1,-13.7,10,11,
methsuximide,brand,EA,first_vs_latest,2019Q1,2026Q3,4.09141,4.40212,7.6,0,,1,1,
oxcarbazepine,brand,EA,first_vs_latest,2019Q1,2026Q3,8.61383,11.60188,34.7,6,32.9,6,6,
oxcarbazepine,brand,EA,jump_25pct,2021Q4,2022Q1,10.13598,13.07547,29.0,4,6.0,5,4,group_median_only
oxcarbazepine,brand,ML,first_vs_latest,2019Q1,2026Q3,1.54316,1.93028,25.1,1,25.1,1,1,
oxcarbazepine,generic,EA,first_vs_latest,2019Q1,2026Q3,0.14811,0.16372,10.5,3,1.6,35,67,
oxcarbazepine,generic,ML,first_vs_latest,2019Q1,2026Q3,0.30808,0.11675,-62.1,1,-62.1,3,10,
oxcarbazepine,generic,ML,jump_25pct,2020Q1,2020Q2,0.32069,0.42342,32.0,1,32.0,3,3,both
oxcarbazepine,generic,ML,jump_25pct,2023Q1,2023Q2,0.2777,0.38084,37.1,1,37.1,3,5,both
perampanel,brand,EA,first_vs_latest,2019Q1,2026Q3,30.6468,39.09468,27.6,5,27.0,5,12,
perampanel,brand,ML,first_vs_latest,2019Q1,2026Q3,,4.45871,,0,,,1,
perampanel,generic,EA,first_vs_latest,2019Q1,2026Q3,,15.95837,,0,,,18,
perampanel,generic,ML,first_vs_latest,2019Q1,2026Q3,,3.96309,,0,,,2,
phenobarbital,generic,EA,first_vs_latest,2019Q1,2026Q3,0.391,0.09712,-75.2,7,-81.3,39,121,
phenobarbital,generic,EA,jump_25pct,2020Q3,2020Q4,0.24369,0.32744,34.4,8,18.8,77,78,group_median_only
phenobarbital,generic,ML,first_vs_latest,2019Q1,2026Q3,0.1173,0.04212,-64.1,2,-64.1,3,9,
phenobarbital,generic,ML,jump_25pct,2021Q4,2022Q1,0.07867,0.09847,25.2,2,25.2,6,7,both
phenytoin,brand,ML,first_vs_latest,2019Q1,2026Q3,0.66829,,,0,,1,,
phenytoin,generic,EA,first_vs_latest,2019Q1,2026Q3,0.26509,0.18123,-31.6,5,35.4,37,25,
phenytoin,generic,EA,jump_25pct,2022Q2,2022Q3,0.19245,0.27639,43.6,8,0.0,32,33,group_median_only
phenytoin,generic,EA,jump_25pct,2022Q4,2023Q1,0.17988,0.23498,30.6,8,3.6,32,29,group_median_only
phenytoin,generic,ML,first_vs_latest,2019Q1,2026Q3,0.07797,0.07562,-3.0,1,-3.0,4,3,
primidone,brand,EA,first_vs_latest,2019Q1,2026Q3,,,,0,,,,
primidone,generic,EA,first_vs_latest,2019Q1,2026Q3,0.08651,0.09156,5.8,2,0.5,27,31,
primidone,generic,EA,jump_25pct,2019Q4,2020Q1,0.08758,0.12361,41.1,2,21.8,22,22,group_median_only
primidone,generic,EA,jump_25pct,2024Q1,2024Q2,0.14336,0.202,40.9,2,-4.9,28,26,group_median_only
rescue_diazepam_nasal,brand,EA,first_vs_latest,2019Q1,2026Q3,,365.72664,,0,,,4,
rescue_diazepam_rectal,brand,EA,first_vs_latest,2019Q1,2026Q3,329.46365,,,0,,2,,
rescue_diazepam_rectal,generic,EA,first_vs_latest,2019Q1,2026Q3,255.72985,208.11817,-18.6,0,,4,9,
rescue_midazolam_nasal,brand,EA,first_vs_latest,2019Q1,2026Q3,,327.34805,,0,,,1,
rufinamide,brand,EA,first_vs_latest,2019Q1,2026Q3,17.27965,18.90286,9.4,2,9.5,2,2,
rufinamide,brand,EA,jump_25pct,2022Q3,2022Q4,18.99309,25.29543,33.2,1,0.0,2,1,group_median_only
rufinamide,brand,ML,first_vs_latest,2019Q1,2026Q3,3.3192,3.64862,9.9,1,9.9,1,1,
rufinamide,generic,EA,first_vs_latest,2019Q1,2026Q3,,1.45319,,0,,,13,
rufinamide,generic,ML,first_vs_latest,2019Q1,2026Q3,,0.20359,,0,,,8,
rufinamide,generic,ML,jump_25pct,2023Q3,2023Q4,0.44732,0.65162,45.7,1,45.7,4,5,both
rufinamide,generic,ML,jump_25pct,2025Q1,2025Q2,0.28508,0.35845,25.7,1,25.7,7,7,both
tiagabine,brand,EA,first_vs_latest,2019Q1,2026Q3,,,,0,,,,
tiagabine,generic,EA,first_vs_latest,2019Q1,2026Q3,5.33372,2.41242,-54.8,2,-55.9,6,6,
tiagabine,generic,EA,jump_25pct,2021Q4,2022Q1,2.85676,3.73471,30.7,1,30.7,3,2,both
tiagabine,generic,EA,jump_25pct,2023Q1,2023Q2,2.27589,2.875,26.3,1,26.3,3,3,both
tiagabine,generic,EA,jump_25pct,2025Q4,2026Q1,1.9538,4.02603,106.1,4,7.5,10,8,group_median_only
topiramate,brand,EA,first_vs_latest,2019Q1,2026Q3,13.88607,17.43323,25.5,9,14.1,20,9,
topiramate,brand,ML,first_vs_latest,2019Q1,2026Q3,,2.55454,,0,,,3,
topiramate,brand,ML,jump_25pct,2024Q1,2024Q2,1.57188,2.29449,46.0,1,46.0,1,3,both
topiramate,generic,EA,first_vs_latest,2019Q1,2026Q3,0.06544,0.10979,67.8,10,-21.4,92,147,
topiramate,generic,EA,jump_25pct,2024Q2,2024Q3,0.08157,0.10227,25.4,11,2.3,130,134,group_median_only
topiramate,generic,ML,first_vs_latest,2019Q1,2026Q3,,1.60051,,0,,,2,
topiramate,generic,ML,jump_25pct,2025Q4,2026Q1,1.0847,1.50072,38.4,1,38.4,1,2,both
valproate,brand,EA,first_vs_latest,2019Q1,2026Q3,3.36925,3.86819,14.8,6,19.9,11,6,
valproate,brand,EA,jump_25pct,2019Q4,2020Q1,3.34288,4.36622,30.6,5,0.0,11,10,group_median_only
valproate,brand,EA,jump_25pct,2021Q2,2021Q3,3.36777,5.38438,59.9,5,0.0,11,9,group_median_only
valproate,brand,EA,jump_25pct,2021Q4,2022Q1,3.3658,4.35168,29.3,5,0.0,11,10,group_median_only
valproate,brand,EA,jump_25pct,2022Q3,2022Q4,3.3658,5.35512,59.1,3,0.0,9,10,group_median_only
valproate,generic,EA,first_vs_latest,2019Q1,2026Q3,0.3064,0.16053,-47.6,7,9.5,106,128,
valproate,generic,ML,first_vs_latest,2019Q1,2026Q3,0.01825,0.03369,84.6,1,84.6,5,4,
zonisamide,brand,ML,first_vs_latest,2019Q1,2026Q3,,2.75046,,0,,,1,
zonisamide,generic,EA,first_vs_latest,2019Q1,2026Q3,0.14126,0.10667,-24.5,3,-34.4,24,26,
