molecule,brand_generic,pricing_unit,quarter,snapshot_as_of_date,median_nadac_per_unit,min_nadac_per_unit,max_nadac_per_unit,n_ndcs,n_products
brivaracetam,brand,EA,2019Q1,2019-03-27,18.34154,18.26081,18.42228,4,2
brivaracetam,brand,EA,2019Q2,2019-06-26,18.34154,18.26081,18.42228,4,2
brivaracetam,brand,EA,2019Q3,2019-09-25,18.36136,18.32749,18.42228,6,3
brivaracetam,brand,EA,2019Q4,2019-12-25,18.32749,18.28093,18.36136,6,3
brivaracetam,brand,EA,2020Q1,2020-03-25,18.87731,18.82936,18.91221,6,3
brivaracetam,brand,EA,2020Q2,2020-06-24,18.87731,18.77461,18.91221,7,4
brivaracetam,brand,EA,2020Q3,2020-09-30,18.87731,18.77461,18.91221,7,4
brivaracetam,brand,EA,2020Q4,2020-12-30,18.81654,18.7738,18.91221,7,4
brivaracetam,brand,EA,2021Q1,2021-03-31,19.38104,19.33702,19.47957,7,4
brivaracetam,brand,EA,2021Q2,2021-06-30,19.38104,19.33702,19.47957,7,4
brivaracetam,brand,EA,2021Q3,2021-09-29,19.34747,19.33983,19.49921,7,4
brivaracetam,brand,EA,2021Q4,2021-12-29,19.34747,19.33983,19.49921,7,4
brivaracetam,brand,EA,2022Q1,2022-03-30,20.68245,20.67428,20.84466,7,4
brivaracetam,brand,EA,2022Q2,2022-06-29,20.68245,20.67428,20.84466,7,4
brivaracetam,brand,EA,2022Q3,2022-09-28,20.68245,20.67428,20.84466,7,4
brivaracetam,brand,EA,2022Q4,2022-12-28,20.68245,20.67428,20.84466,7,4
brivaracetam,brand,EA,2023Q1,2023-03-29,21.95869,21.90271,22.07449,7,4
brivaracetam,brand,EA,2023Q2,2023-06-28,21.95869,21.90271,22.07449,7,4
brivaracetam,brand,EA,2023Q3,2023-09-27,21.95869,21.90271,22.07449,7,4
brivaracetam,brand,EA,2023Q4,2023-12-27,21.92353,21.80437,22.1695,7,4
brivaracetam,brand,EA,2024Q1,2024-03-27,22.91009,22.78557,23.16713,7,4
brivaracetam,brand,EA,2024Q2,2024-06-26,22.94516,22.92867,23.00286,8,5
brivaracetam,brand,EA,2024Q3,2024-09-25,22.9465,22.92918,23.00286,8,5
brivaracetam,brand,EA,2024Q4,2024-12-25,22.93607,22.91172,22.96183,8,5
brivaracetam,brand,EA,2025Q1,2025-03-26,23.50947,23.48452,23.53587,8,5
brivaracetam,brand,EA,2025Q2,2025-06-25,23.47274,23.40052,23.49189,8,5
brivaracetam,brand,EA,2025Q3,2025-09-24,23.47438,23.37311,23.48308,8,5
brivaracetam,brand,EA,2025Q4,2025-12-31,23.48038,23.37806,23.4897,8,5
brivaracetam,brand,EA,2026Q1,2026-03-25,24.09088,23.98589,24.10043,8,5
brivaracetam,brand,EA,2026Q2,2026-06-24,24.07524,23.952,24.07848,8,5
brivaracetam,brand,EA,2026Q3,2026-09-16,24.07111,23.98643,24.07953,8,5
brivaracetam,brand,ML,2019Q4,2019-12-25,3.63577,3.63577,3.63577,1,1
brivaracetam,brand,ML,2020Q1,2020-03-25,3.74484,3.74484,3.74484,1,1
brivaracetam,brand,ML,2020Q2,2020-06-24,3.74484,3.74484,3.74484,1,1
brivaracetam,brand,ML,2020Q3,2020-09-30,3.74484,3.74484,3.74484,1,1
brivaracetam,brand,ML,2020Q4,2020-12-30,3.75969,3.75969,3.75969,1,1
brivaracetam,brand,ML,2021Q1,2021-03-31,3.87248,3.87248,3.87248,1,1
brivaracetam,brand,ML,2021Q2,2021-06-30,3.87248,3.87248,3.87248,1,1
brivaracetam,brand,ML,2021Q3,2021-09-29,3.87248,3.87248,3.87248,1,1
brivaracetam,brand,ML,2021Q4,2021-12-29,3.90186,3.90186,3.90186,1,1
brivaracetam,brand,ML,2022Q1,2022-03-30,4.17109,4.17109,4.17109,1,1
brivaracetam,brand,ML,2022Q2,2022-06-29,4.13442,4.13442,4.13442,1,1
brivaracetam,brand,ML,2022Q3,2022-09-28,4.14595,4.14595,4.14595,1,1
